date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:54:51	49547/49547	---MCZ	200	added ('OK')	text/html	etag:W/%22814df6a6ff5fa2ca5a9e3ba72e1eea41%22	https://petperks-bootstrap-pwa.vercel.app/index.html	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/index.html	(from )
14:54:52	1492/1492	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Sep%202025%2009:24:52%20GMT	https://petperks-bootstrap-pwa.vercel.app/robots.txt		(from )
14:54:52	252059/252059	---M--	200	added ('OK')	image/png	etag:%223d89b-62a02bf61b452%22	https://petperks.dexignzone.com/xhtml/social-image.png	D:/httrackdownload/CAKKRIGAME/petperks.dexignzone.com/xhtml/social-image.png	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:54:53	1537/1537	---M--	200	added ('OK')	image/png	etag:%22924e9fb9ed9632055bf1c7b75ff4f004%22	https://petperks-bootstrap-pwa.vercel.app/assets/images/app-logo/favicon.png	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/assets/images/app-logo/favicon.png	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:54:53	421/421	---M--	200	added ('OK')	application/json	etag:%229d5f43fd88b0332dd4bf3041c1dbc935%22	https://petperks-bootstrap-pwa.vercel.app/manifest.json	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/manifest.json	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:54:53	11115/11115	---MCZ	200	added ('OK')	text/css	etag:W/%2235094636b0d875f6fd48b4b958bf7dfe%22	https://petperks-bootstrap-pwa.vercel.app/assets/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/assets/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:54:54	444/444	---M--	200	added ('OK')	text/css	etag:%22fb91a065f33a7e98155f2ff252caa169%22	https://petperks-bootstrap-pwa.vercel.app/assets/vendor/bootstrap-touchspin/dist/jquery.bootstrap-touchspin.min.css	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/assets/vendor/bootstrap-touchspin/dist/jquery.bootstrap-touchspin.min.css	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:54:54	18435/18435	---MCZ	200	added ('OK')	text/css	etag:W/%22d3bf84b186af2b93987c9d133c968fe6%22	https://petperks-bootstrap-pwa.vercel.app/assets/vendor/swiper/swiper-bundle.min.css	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/assets/vendor/swiper/swiper-bundle.min.css	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:54:55	927/927	---M--	200	added ('OK')	text/css	etag:%222a8c6210db582c4c0c181aa1bc947b49%22	https://petperks-bootstrap-pwa.vercel.app/assets/vendor/grouploop-master/examples/css/styles.css	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/assets/vendor/grouploop-master/examples/css/styles.css	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:54:55	478033/478033	---MCZ	200	added ('OK')	text/css	etag:W/%22cb4a033bc3c6a420e2f1477d8fa4f450%22	https://petperks-bootstrap-pwa.vercel.app/assets/css/style.css	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/assets/css/style.css	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:54:55	21459/21459	---M--	200	added ('OK')	image/png	etag:%22267be6909a32d5968c632e13cd386a5c%22	https://petperks-bootstrap-pwa.vercel.app/assets/images/avatar/1.png	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/assets/images/avatar/1.png	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:54:56	9979/9979	---MCZ	200	added ('OK')	text/html	etag:W/%22d91c03410f1f28d23a461a8a5091e737%22	https://petperks-bootstrap-pwa.vercel.app/notification.html	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/notification.html	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:54:58	8430/8430	---MCZ	200	added ('OK')	text/html	etag:W/%228699e76dfb812cb875cae36b2ee9b3dd%22	https://petperks-bootstrap-pwa.vercel.app/search.html	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/search.html	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:54:58	15994/15994	---MCZ	200	added ('OK')	text/html	etag:W/%224ad71cc9816faaed3cbb807e45a052b7%22	https://petperks-bootstrap-pwa.vercel.app/profile.html	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/profile.html	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:54:58	5985/5985	---M--	200	added ('OK')	image/png	etag:%223805b87775fb7ebe77c0d7f39cbf3431%22	https://petperks-bootstrap-pwa.vercel.app/assets/images/avatar/chat/2.png	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/assets/images/avatar/chat/2.png	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:54:59	28974/28974	---MCZ	200	added ('OK')	text/html	etag:W/%22f1d46179237225896e149d5cf40e5f0c%22	https://petperks-bootstrap-pwa.vercel.app/products.html	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/products.html	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:55:00	15095/15095	---MCZ	200	added ('OK')	text/html	etag:W/%22aa0df65844d444dd4e6813e0111112c6%22	https://petperks-bootstrap-pwa.vercel.app/components.html	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/components.html	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:55:00	14929/14929	---MCZ	200	added ('OK')	text/html	etag:W/%22a92ec62f8488bd3e542d29733cb68920%22	https://petperks-bootstrap-pwa.vercel.app/pages.html	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/pages.html	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:55:01	13012/13012	---MCZ	200	added ('OK')	text/html	etag:W/%22aabd9e87224a36a3d6c276a7e41bacc5%22	https://petperks-bootstrap-pwa.vercel.app/wishlist.html	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/wishlist.html	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:55:01	13503/13503	---MCZ	200	added ('OK')	text/html	etag:W/%229a003604f5ee35e693bacc2d52ea7db5%22	https://petperks-bootstrap-pwa.vercel.app/my-order.html	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/my-order.html	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:55:02	10012/10012	---MCZ	200	added ('OK')	text/html	etag:W/%221360d689e85fcf239d7fc63aefabae7e%22	https://petperks-bootstrap-pwa.vercel.app/chat-list.html	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/chat-list.html	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:55:02	11066/11066	---MCZ	200	added ('OK')	text/html	etag:W/%22e3bdc173c453477b71dcc106872d60b6%22	https://petperks-bootstrap-pwa.vercel.app/cart.html	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/cart.html	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:55:03	8822/8822	---MCZ	200	added ('OK')	text/html	etag:W/%225c0ada038e38eacb645c50ad4e0785a5%22	https://petperks-bootstrap-pwa.vercel.app/welcome.html	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/welcome.html	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:55:03	41981/41981	---M--	200	added ('OK')	image/png	etag:%22e8cb95269e1e5d88a394866d5afedb84%22	https://petperks-bootstrap-pwa.vercel.app/assets/images/banner/pic1.png	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/assets/images/banner/pic1.png	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:55:04	10895/10895	---MCZ	200	added ('OK')	text/html	etag:W/%225010e240bd0247fa76861eb7becb803f%22	https://petperks-bootstrap-pwa.vercel.app/category.html	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/category.html	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:55:04	6217/6217	---M--	200	added ('OK')	image/png	etag:%2221e72318227b35bce0de975d4dffcecb%22	https://petperks-bootstrap-pwa.vercel.app/assets/images/category/category1/1.png	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/assets/images/category/category1/1.png	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:55:05	5436/5436	---M--	200	added ('OK')	image/png	etag:%2252ceb46ee666be0cff62d4b820009479%22	https://petperks-bootstrap-pwa.vercel.app/assets/images/category/category1/2.png	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/assets/images/category/category1/2.png	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:55:05	4781/4781	---M--	200	added ('OK')	image/png	etag:%225a9a97df7c3b5fc3173d86c7b71f4ccd%22	https://petperks-bootstrap-pwa.vercel.app/assets/images/category/category1/3.png	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/assets/images/category/category1/3.png	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:55:05	4974/4974	---M--	200	added ('OK')	image/png	etag:%22a0f6d6a2b03116707f5b0fb010f345f5%22	https://petperks-bootstrap-pwa.vercel.app/assets/images/category/category1/4.png	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/assets/images/category/category1/4.png	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:55:06	19327/19327	---M--	200	added ('OK')	image/png	etag:%22df1d05e3e4def7d5e3926c3a3bc7f273%22	https://petperks-bootstrap-pwa.vercel.app/assets/images/category/category1/5.png	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/assets/images/category/category1/5.png	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:55:06	1153/1153	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22bad34ecea4ffa8664dcf914cbf0d0d93%22	https://petperks-bootstrap-pwa.vercel.app/assets/images/svg/star.svg	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/assets/images/svg/star.svg	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:55:06	12699/12699	---M--	200	added ('OK')	image/png	etag:%22efb91fab1a01b4fe87e318d2dd8d10e2%22	https://petperks-bootstrap-pwa.vercel.app/assets/images/category/category1/6.png	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/assets/images/category/category1/6.png	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:55:07	11311/11311	---MCZ	200	added ('OK')	text/html	etag:W/%221468c68b8539f2c58d9d0dd18b963374%22	https://petperks-bootstrap-pwa.vercel.app/product-detail.html	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/product-detail.html	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:55:07	13122/13122	---M--	200	added ('OK')	image/png	etag:%2237b8e4658528cae6475bb8fb1e05cddc%22	https://petperks-bootstrap-pwa.vercel.app/assets/images/product/product1/pic1.png	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/assets/images/product/product1/pic1.png	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:55:08	9495/9495	---M--	200	added ('OK')	image/png	etag:%22ce5411caaedc9da3bc4b71eab7ce0f74%22	https://petperks-bootstrap-pwa.vercel.app/assets/images/product/product1/pic2.png	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/assets/images/product/product1/pic2.png	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
14:55:08	10891/10891	---M--	200	added ('OK')	image/png	etag:%22f5832c4e7c6da36e8f1ac19abd646d21%22	https://petperks-bootstrap-pwa.vercel.app/assets/images/product/product1/pic3.png	D:/httrackdownload/CAKKRIGAME/petperks-bootstrap-pwa.vercel.app/assets/images/product/product1/pic3.png	(from https://petperks-bootstrap-pwa.vercel.app/index.html)
