date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:47:40	9122/9122	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Sep%202025%2007:17:22%20GMT	http://www.dubaisattaking.com/PalManzoorLeh/index	D:/httrackdownload/dubai/www.dubaisattaking.com/PalManzoorLeh/index.html	(from )
12:47:40	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Sep%202025%2007:17:22%20GMT	http://www.dubaisattaking.com/robots.txt		(from )
12:47:41	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%220f8be407cf2d31:0%22	http://www.dubaisattaking.com/Mobile_Asset/css/bootstrap.min.css	D:/httrackdownload/dubai/www.dubaisattaking.com/Mobile_Asset/css/bootstrap.min.css	(from http://www.dubaisattaking.com/PalManzoorLeh/index)
12:47:41	9153/9153	---M-Z	200	added ('OK')	text/css	etag:%220bba576fccfd71:0%22	http://www.dubaisattaking.com/Mobile_Asset/css/calendar.css?v=15092025124722	D:/httrackdownload/dubai/www.dubaisattaking.com/Mobile_Asset/css/calendar013b.css	(from http://www.dubaisattaking.com/PalManzoorLeh/index)
12:47:42	37414/37414	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-9226%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css	D:/httrackdownload/dubai/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css	(from http://www.dubaisattaking.com/PalManzoorLeh/index)
12:47:42	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	D:/httrackdownload/dubai/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from http://www.dubaisattaking.com/PalManzoorLeh/index)
12:47:44	5763/5763	---M--	200	added ('OK')	image/png	etag:%2205221437cf2d31:0%22	http://www.dubaisattaking.com/image/Sm-Number/3.png	D:/httrackdownload/dubai/www.dubaisattaking.com/image/Sm-Number/3.png	(from http://www.dubaisattaking.com/PalManzoorLeh/index)
12:47:45	3227/3227	---M--	200	added ('OK')	image/png	etag:%2205221437cf2d31:0%22	http://www.dubaisattaking.com/image/Sm-Number/4.png	D:/httrackdownload/dubai/www.dubaisattaking.com/image/Sm-Number/4.png	(from http://www.dubaisattaking.com/PalManzoorLeh/index)
12:47:45	18327/18327	---M--	200	added ('OK')	image/png	etag:%228c41993eef7d31:0%22	http://www.dubaisattaking.com/image/India.png	D:/httrackdownload/dubai/www.dubaisattaking.com/image/India.png	(from http://www.dubaisattaking.com/PalManzoorLeh/index)
12:47:46	5139/5139	---M--	200	added ('OK')	image/png	etag:%2205221437cf2d31:0%22	http://www.dubaisattaking.com/image/Sm-Number/5.png	D:/httrackdownload/dubai/www.dubaisattaking.com/image/Sm-Number/5.png	(from http://www.dubaisattaking.com/PalManzoorLeh/index)
12:47:46	2646/2646	---M--	200	added ('OK')	image/png	etag:%2205221437cf2d31:0%22	http://www.dubaisattaking.com/image/Sm-Number/1.png	D:/httrackdownload/dubai/www.dubaisattaking.com/image/Sm-Number/1.png	(from http://www.dubaisattaking.com/PalManzoorLeh/index)
12:47:47	4149/4149	---M--	200	added ('OK')	image/png	etag:%2205221437cf2d31:0%22	http://www.dubaisattaking.com/image/Sm-Number/7.png	D:/httrackdownload/dubai/www.dubaisattaking.com/image/Sm-Number/7.png	(from http://www.dubaisattaking.com/PalManzoorLeh/index)
12:47:47	1009/1009	---M--	200	added ('OK')	image/png	etag:%22035ee6c40f0d31:0%22	http://www.dubaisattaking.com/image/Lg-Number/8.png	D:/httrackdownload/dubai/www.dubaisattaking.com/image/Lg-Number/8.png	(from http://www.dubaisattaking.com/PalManzoorLeh/index)
12:47:47	5463/5463	---M--	200	added ('OK')	image/png	etag:%2205221437cf2d31:0%22	http://www.dubaisattaking.com/image/Sm-Number/9.png	D:/httrackdownload/dubai/www.dubaisattaking.com/image/Sm-Number/9.png	(from http://www.dubaisattaking.com/PalManzoorLeh/index)
12:47:50	37045/37045	---M-Z	200	added ('OK')	application/javascript	etag:%220cb8d3f7cf2d31:0%22	http://www.dubaisattaking.com/Mobile_Asset/js/bootstrap.min.js	D:/httrackdownload/dubai/www.dubaisattaking.com/Mobile_Asset/js/bootstrap.min.js	(from http://www.dubaisattaking.com/PalManzoorLeh/index)
12:47:51	11233/11233	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03d2a-2be1%22	https://cdnjs.cloudflare.com/ajax/libs/animejs/2.0.2/anime.min.js	D:/httrackdownload/dubai/cdnjs.cloudflare.com/ajax/libs/animejs/2.0.2/anime.min.js	(from http://www.dubaisattaking.com/PalManzoorLeh/index)
