date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:39:49	60317/60317	---M-Z	200	added ('OK')	text/html	date:Sat,%2003%20Jan%202026%2005:09:49%20GMT	https://fssairegistration.org/	D:/httrackdownload/food/fssairegistration.org/index.html	(from )
10:39:49	93/93	---M-Z	200	added ('OK')	text/plain	date:Wed,%2025%20Jun%202025%2023:46:30%20GMT	https://fssairegistration.org/robots.txt		(from )
10:39:49	707/707	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Aug%202021%2011:29:02%20GMT	https://fssairegistration.org/assets/img/flag.png	D:/httrackdownload/food/fssairegistration.org/assets/img/flag.png	(from https://fssairegistration.org/)
10:39:50	15206/15206	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2003%20Jan%202026%2005:09:50%20GMT	https://kit.fontawesome.com/d23a55b7f1.js	D:/httrackdownload/food/kit.fontawesome.com/d23a55b7f1.js	(from https://fssairegistration.org/)
10:39:50	159515/159515	---MCZ	200	added ('OK')	text/css	etag:W/%227cc40c199d128af6b01e74a28c5900b0%22	https://stackpath.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	D:/httrackdownload/food/stackpath.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	(from https://fssairegistration.org/)
10:39:50	1658/1658	---M-Z	200	added ('OK')	text/css	etag:W/%22690d70d9-67a%22	https://getbootstrap.com/docs/4.0/examples/carousel/carousel.css	D:/httrackdownload/food/getbootstrap.com/docs/4.0/examples/carousel/carousel.css	(from https://fssairegistration.org/)
10:39:50	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	D:/httrackdownload/food/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://fssairegistration.org/)
10:39:51	39680/39680	---MCZ	200	added ('OK')	application/javascript	etag:W/%222f34b630ffe30ba2ff2b91e3f3c322a1%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.4.1/js/bootstrap.min.js	D:/httrackdownload/food/maxcdn.bootstrapcdn.com/bootstrap/3.4.1/js/bootstrap.min.js	(from https://fssairegistration.org/)
10:39:51	18975/18975	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Jul%202024%2012:06:24%20GMT	https://fssairegistration.org/main.css?v=1767416989	D:/httrackdownload/food/fssairegistration.org/maincafb.css	(from https://fssairegistration.org/)
10:39:51	3870/3870	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Dec%202021%2012:56:19%20GMT	https://fssairegistration.org/assets/css/home.css	D:/httrackdownload/food/fssairegistration.org/assets/css/home.css	(from https://fssairegistration.org/)
10:39:51	73890/73890	---M-Z	200	added ('OK')	text/css	etag:%226760ad4c-51a1%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.7.2/css/all.min.css	D:/httrackdownload/food/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.7.2/css/all.min.css	(from https://fssairegistration.org/)
10:39:53	37414/37414	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-9226%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css	D:/httrackdownload/food/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css	(from https://fssairegistration.org/)
10:39:53	32811/32811	---M-Z	200	added ('OK')	text/html	date:Sat,%2003%20Jan%202026%2005:09:54%20GMT	https://fssairegistration.org/enquiry.php	D:/httrackdownload/food/fssairegistration.org/enquiry.html	(from https://fssairegistration.org/)
10:39:53	358/358	---M--	403	error ('Forbidden')	text/html	date:Sat,%2003%20Jan%202026%2005:09:54%20GMT	https://fssairegistration.org/about-us.php	D:/httrackdownload/food/fssairegistration.org/about-us.php	(from https://fssairegistration.org/)
10:39:53	358/358	---M--	403	error ('Forbidden')	text/html	date:Sat,%2003%20Jan%202026%2005:09:54%20GMT	https://fssairegistration.org/complaint-form.php	D:/httrackdownload/food/fssairegistration.org/complaint-form.php	(from https://fssairegistration.org/)
