date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:39:06	592518/592518	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%202026%2012:31:57%20GMT	https://demo.egenslab.com//html/gofly/preview/index.html	D:/httrackdownload/gofly/demo.egenslab.com/html/gofly/preview/index.html	(from )
10:39:07	633/633	---MCZ	200	added ('OK')	text/plain	date:Tue,%2024%20Mar%202026%2005:09:08%20GMT	https://demo.egenslab.com/robots.txt		(from )
10:39:07	232952/232952	---MCZ	200	added ('OK')	text/css	etag:W/%22695669c3-38df8%22	https://demo.egenslab.com//html/gofly/preview/assets/css/bootstrap.min.css	D:/httrackdownload/gofly/demo.egenslab.com/html/gofly/preview/assets/css/bootstrap.min.css	(from https://demo.egenslab.com//html/gofly/preview/index.html)
10:39:07	30699/30699	---MCZ	200	added ('OK')	text/css	etag:W/%22695669d0-77eb%22	https://demo.egenslab.com//html/gofly/preview/assets/css/jquery-ui.css	D:/httrackdownload/gofly/demo.egenslab.com/html/gofly/preview/assets/css/jquery-ui.css	(from https://demo.egenslab.com//html/gofly/preview/index.html)
10:39:07	100335/100335	---MCZ	200	added ('OK')	text/css	etag:W/%22695669c7-187ef%22	https://demo.egenslab.com//html/gofly/preview/assets/css/bootstrap-icons.css	D:/httrackdownload/gofly/demo.egenslab.com/html/gofly/preview/assets/css/bootstrap-icons.css	(from https://demo.egenslab.com//html/gofly/preview/index.html)
10:39:08	86631/86631	---MCZ	200	added ('OK')	text/css	etag:W/%22695669c9-15267%22	https://demo.egenslab.com//html/gofly/preview/assets/css/animate.min.css	D:/httrackdownload/gofly/demo.egenslab.com/html/gofly/preview/assets/css/animate.min.css	(from https://demo.egenslab.com//html/gofly/preview/index.html)
10:39:08	12795/12795	---MCZ	200	added ('OK')	text/css	etag:%22695669cc-31fb%22	https://demo.egenslab.com//html/gofly/preview/assets/css/jquery.fancybox.min.css	D:/httrackdownload/gofly/demo.egenslab.com/html/gofly/preview/assets/css/jquery.fancybox.min.css	(from https://demo.egenslab.com//html/gofly/preview/index.html)
10:39:08	4145/4145	---MCZ	200	added ('OK')	text/css	etag:W/%22695669cf-1031%22	https://demo.egenslab.com//html/gofly/preview/assets/css/nice-select.css	D:/httrackdownload/gofly/demo.egenslab.com/html/gofly/preview/assets/css/nice-select.css	(from https://demo.egenslab.com//html/gofly/preview/index.html)
10:39:08	18464/18464	---MCZ	200	added ('OK')	text/css	etag:%22695669ca-4820%22	https://demo.egenslab.com//html/gofly/preview/assets/css/swiper-bundle.min.css	D:/httrackdownload/gofly/demo.egenslab.com/html/gofly/preview/assets/css/swiper-bundle.min.css	(from https://demo.egenslab.com//html/gofly/preview/index.html)
10:39:08	1895/1895	---MCZ	200	added ('OK')	text/css	etag:%22695669c8-767%22	https://demo.egenslab.com//html/gofly/preview/assets/css/slick.css	D:/httrackdownload/gofly/demo.egenslab.com/html/gofly/preview/assets/css/slick.css	(from https://demo.egenslab.com//html/gofly/preview/index.html)
10:39:09	3349/3349	---MCZ	200	added ('OK')	text/css	etag:W/%22695669cd-d15%22	https://demo.egenslab.com//html/gofly/preview/assets/css/slick-theme.css	D:/httrackdownload/gofly/demo.egenslab.com/html/gofly/preview/assets/css/slick-theme.css	(from https://demo.egenslab.com//html/gofly/preview/index.html)
10:39:09	8069/8069	---MCZ	200	added ('OK')	text/css	etag:%22695669cb-1f85%22	https://demo.egenslab.com//html/gofly/preview/assets/css/daterangepicker.css	D:/httrackdownload/gofly/demo.egenslab.com/html/gofly/preview/assets/css/daterangepicker.css	(from https://demo.egenslab.com//html/gofly/preview/index.html)
10:39:09	63781/63781	---MCZ	200	added ('OK')	text/css	etag:W/%22695669cc-f925%22	https://demo.egenslab.com//html/gofly/preview/assets/css/boxicons.min.css	D:/httrackdownload/gofly/demo.egenslab.com/html/gofly/preview/assets/css/boxicons.min.css	(from https://demo.egenslab.com//html/gofly/preview/index.html)
10:39:09	1038101/1038101	---MCZ	200	added ('OK')	text/css	etag:%22695669d4-fd715%22	https://demo.egenslab.com//html/gofly/preview/assets/css/style.css	D:/httrackdownload/gofly/demo.egenslab.com/html/gofly/preview/assets/css/style.css	(from https://demo.egenslab.com//html/gofly/preview/index.html)
10:39:09	893/893	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22695669e7-37d%22	https://demo.egenslab.com//html/gofly/preview/assets/img/fav-icon.svg	D:/httrackdownload/gofly/demo.egenslab.com/html/gofly/preview/assets/img/fav-icon.svg	(from https://demo.egenslab.com//html/gofly/preview/index.html)
