date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:49:14	21405/21405	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2012:08:11%20GMT	https://askbootstrap.com/preview/adopet/home.html	D:/httrackdownload/hindibible/askbootstrap.com/preview/adopet/home.html	(from )
14:49:14	117/117	---MCZ	200	added ('OK')	text/plain	etag:W/%22b9-662f52c4-1b917f1c0b1e9ac8;;;%22	https://askbootstrap.com/robots.txt		(from )
14:49:15	54409/54409	---M--	200	added ('OK')	image/png	etag:%22d489-662e5429-ee5dbdf1f78a11f0;;;%22	https://askbootstrap.com/preview/adopet/img/logo.png	D:/httrackdownload/hindibible/askbootstrap.com/preview/adopet/img/logo.png	(from https://askbootstrap.com/preview/adopet/home.html)
14:49:15	220780/220780	---MCZ	200	added ('OK')	text/css	etag:W/%2235e6c-662e8543-b48fb5cd94b3fec6;br%22	https://askbootstrap.com/preview/adopet/vender/bootstrap/css/bootstrap.min.css	D:/httrackdownload/hindibible/askbootstrap.com/preview/adopet/vender/bootstrap/css/bootstrap.min.css	(from https://askbootstrap.com/preview/adopet/home.html)
14:49:15	95609/95609	---M-Z	200	added ('OK')	text/css	etag:W/%2217579-AwBvMnkuAzSX6cpoNztsM4YwWTM%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.3/font/bootstrap-icons.css	D:/httrackdownload/hindibible/cdn.jsdelivr.net/npm/bootstrap-icons@1.10.3/font/bootstrap-icons.css	(from https://askbootstrap.com/preview/adopet/home.html)
14:49:15	19379/19379	---MCZ	200	added ('OK')	text/css	etag:W/%225638-662e66f8-89584918df9556bc;br%22	https://askbootstrap.com/preview/adopet/vender/sidebar/demo.css	D:/httrackdownload/hindibible/askbootstrap.com/preview/adopet/vender/sidebar/demo.css	(from https://askbootstrap.com/preview/adopet/home.html)
14:49:16	334139/334139	---MCZ	200	added ('OK')	text/css	etag:W/%225193b-662e852b-2b45817e0bf68d56;br%22	https://askbootstrap.com/preview/adopet/vender/materialdesign/css/materialdesignicons.min.css	D:/httrackdownload/hindibible/askbootstrap.com/preview/adopet/vender/materialdesign/css/materialdesignicons.min.css	(from https://askbootstrap.com/preview/adopet/home.html)
14:49:16	4679/4679	---MCZ	200	added ('OK')	text/css	etag:W/%221247-662e5421-a602edfcd4e5e163;br%22	https://askbootstrap.com/preview/adopet/css/style.css	D:/httrackdownload/hindibible/askbootstrap.com/preview/adopet/css/style.css	(from https://askbootstrap.com/preview/adopet/home.html)
14:49:16	13453/13453	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2012:08:14%20GMT	https://askbootstrap.com/preview/adopet/pet-search.html	D:/httrackdownload/hindibible/askbootstrap.com/preview/adopet/pet-search.html	(from https://askbootstrap.com/preview/adopet/home.html)
14:49:17	14245/14245	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2012:08:09%20GMT	https://askbootstrap.com/preview/adopet/notification.html	D:/httrackdownload/hindibible/askbootstrap.com/preview/adopet/notification.html	(from https://askbootstrap.com/preview/adopet/home.html)
14:49:17	32208/32208	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2012:08:10%20GMT	https://askbootstrap.com/preview/adopet/favorite.html	D:/httrackdownload/hindibible/askbootstrap.com/preview/adopet/favorite.html	(from https://askbootstrap.com/preview/adopet/home.html)
14:49:18	461993/461993	---M--	200	added ('OK')	image/png	etag:%2270ca9-662e5429-add75b599a1367b0;;;%22	https://askbootstrap.com/preview/adopet/img/banner.png	D:/httrackdownload/hindibible/askbootstrap.com/preview/adopet/img/banner.png	(from https://askbootstrap.com/preview/adopet/home.html)
14:49:19	13220/13220	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2012:08:14%20GMT	https://askbootstrap.com/preview/adopet/pet-datils.html	D:/httrackdownload/hindibible/askbootstrap.com/preview/adopet/pet-datils.html	(from https://askbootstrap.com/preview/adopet/home.html)
