date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:43:27	230147/230147	---MCZ	200	added ('OK')	text/html	etag:%228672-1766764042;gz%22	https://majestineglobal.com/	D:/httrackdownload/indiaglobalwordpress/majestineglobal.com/index.html	(from )
10:43:27	145/145	---M-Z	200	added ('OK')	text/plain	date:Mon,%2029%20Dec%202025%2005:13:30%20GMT	https://majestineglobal.com/robots.txt		(from )
10:43:28	53644/53644	---M-Z	200	added ('OK')	text/css	etag:%22d18c-69396756-72d3835f7a0d6ec7;gz%22	https://majestineglobal.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.33.4	D:/httrackdownload/indiaglobalwordpress/majestineglobal.com/wp-content/plugins/elementor/assets/css/frontend.min37de.css	(from https://majestineglobal.com/)
10:43:28	24885/24885	---M-Z	200	added ('OK')	text/css	etag:%226135-694ead91-ba190e89f5063e76;gz%22	https://majestineglobal.com/wp-content/uploads/elementor/css/post-951.css?ver=1766763921	D:/httrackdownload/indiaglobalwordpress/majestineglobal.com/wp-content/uploads/elementor/css/post-951a1ac.css	(from https://majestineglobal.com/)
10:43:28	1440/1440	---M-Z	200	added ('OK')	text/css	etag:%225a0-680b3035-58af5d5bd0ff6ca0;gz%22	https://majestineglobal.com/wp-content/plugins/preloader-plus-disabled/assets/css/preloader-plus.min.css?ver=2.2.1	D:/httrackdownload/indiaglobalwordpress/majestineglobal.com/wp-content/plugins/preloader-plus-disabled/assets/css/preloader-plus.min77e6.css	(from https://majestineglobal.com/)
10:43:29	19727/19727	---M-Z	200	added ('OK')	text/css	etag:%224d0f-694ea7df-3eff4cb4c935b1a7;gz%22	https://majestineglobal.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=10.4.3	D:/httrackdownload/indiaglobalwordpress/majestineglobal.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layoutf607.css	(from https://majestineglobal.com/)
10:43:29	7527/7527	---M-Z	200	added ('OK')	text/css	etag:%221d67-694ea7df-ae349600daa4ffd8;gz%22	https://majestineglobal.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=10.4.3	D:/httrackdownload/indiaglobalwordpress/majestineglobal.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreenf607.css	(from https://majestineglobal.com/)
10:43:29	1128/1128	---M-Z	200	added ('OK')	application/rss+xml	etag:%2233f9707a91cb9880167d075827894293%22	https://majestineglobal.com/feed/	D:/httrackdownload/indiaglobalwordpress/majestineglobal.com/feed/index.html	(from https://majestineglobal.com/)
10:43:29	86378/86378	---M-Z	200	added ('OK')	text/css	etag:%221516a-694ea7df-a3a1f1361ddefcc2;gz%22	https://majestineglobal.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=10.4.3	D:/httrackdownload/indiaglobalwordpress/majestineglobal.com/wp-content/plugins/woocommerce/assets/css/woocommercef607.css	(from https://majestineglobal.com/)
10:43:29	772/772	---M-Z	200	added ('OK')	application/rss+xml	etag:%2233f9707a91cb9880167d075827894293%22	https://majestineglobal.com/comments/feed/	D:/httrackdownload/indiaglobalwordpress/majestineglobal.com/comments/feed/index.html	(from https://majestineglobal.com/)
