date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:26	137753/137753	---M-Z	200	added ('OK')	text/html	etag:%2221a19-693fd38a-c9ff65cf603e628d;gz%22	https://html.themewant.com/invena/index.html	D:/httrackdownload/indo-nepal%202/html.themewant.com/invena/index.html	(from )
11:24:28	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-9434f88ca4ff284b;gz%22	https://html.themewant.com/robots.txt		(from )
11:24:28	1366/1366	---M--	200	added ('OK')	image/png	etag:%22556-67da8d01-742947040530c888;;;%22	https://html.themewant.com/invena/assets/images/fav.png	D:/httrackdownload/indo-nepal%202/html.themewant.com/invena/assets/images/fav.png	(from https://html.themewant.com/invena/index.html)
11:24:29	18947/18947	---M-Z	200	added ('OK')	text/css	etag:%224a03-6838460f-733851d333d23834;gz%22	https://html.themewant.com/invena/assets/css/plugins/swiper.css	D:/httrackdownload/indo-nepal%202/html.themewant.com/invena/assets/css/plugins/swiper.css	(from https://html.themewant.com/invena/index.html)
11:24:29	497984/497984	---M-Z	200	added ('OK')	text/css	etag:%2279940-6838460f-58ffa0ce5a6e9aca;gz%22	https://html.themewant.com/invena/assets/css/plugins/fontawesome.css	D:/httrackdownload/indo-nepal%202/html.themewant.com/invena/assets/css/plugins/fontawesome.css	(from https://html.themewant.com/invena/index.html)
11:24:30	2423/2423	---M-Z	200	added ('OK')	text/css	etag:%22977-67da8d01-2be4179b3612833c;gz%22	https://html.themewant.com/invena/assets/css/plugins/metismenu.css	D:/httrackdownload/indo-nepal%202/html.themewant.com/invena/assets/css/plugins/metismenu.css	(from https://html.themewant.com/invena/index.html)
11:24:30	8242/8242	---M-Z	200	added ('OK')	text/css	etag:%222032-67f3c153-33f465d19d08a893;gz%22	https://html.themewant.com/invena/assets/css/plugins/magnifying-popup.css	D:/httrackdownload/indo-nepal%202/html.themewant.com/invena/assets/css/plugins/magnifying-popup.css	(from https://html.themewant.com/invena/index.html)
11:24:31	3435/3435	---M-Z	200	added ('OK')	text/css	etag:%22d6b-67f3c153-fa9c294030ead01;gz%22	https://html.themewant.com/invena/assets/css/plugins/odometer.css	D:/httrackdownload/indo-nepal%202/html.themewant.com/invena/assets/css/plugins/odometer.css	(from https://html.themewant.com/invena/index.html)
11:24:31	196066/196066	---M-Z	200	added ('OK')	text/css	etag:%222fde2-6821919e-ff8d0211a3b11377;gz%22	https://html.themewant.com/invena/assets/css/vendor/bootstrap.min.css	D:/httrackdownload/indo-nepal%202/html.themewant.com/invena/assets/css/vendor/bootstrap.min.css	(from https://html.themewant.com/invena/index.html)
11:24:31	26042/26042	---M--	200	added ('OK')	image/webp	etag:%2265ba-67f62953-eaa73057f2fbc43;;;%22	https://html.themewant.com/invena/assets/images/banner/21.webp	D:/httrackdownload/indo-nepal%202/html.themewant.com/invena/assets/images/banner/21.webp	(from https://html.themewant.com/invena/index.html)
