date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:37	94434/94434	---MCZ	200	added ('OK')	text/html	etag:W/%2267c69b30-170e2%22	https://html.awaikenthemes.com/artistic/freelancer/index-image.html	D:/httrackdownload/irsad%2022/html.awaikenthemes.com/artistic/freelancer/index-image.html	(from )
11:51:38	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%2267c54045-1a%22	https://html.awaikenthemes.com/robots.txt		(from )
11:51:38	2975/2975	---M--	200	added ('OK')	image/png	etag:%2267c69b30-b9f%22	https://html.awaikenthemes.com/artistic/freelancer/images/favicon.png	D:/httrackdownload/irsad%2022/html.awaikenthemes.com/artistic/freelancer/images/favicon.png	(from https://html.awaikenthemes.com/artistic/freelancer/index-image.html)
11:51:38	232757/232757	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b30-38d35%22	https://html.awaikenthemes.com/artistic/freelancer/css/bootstrap.min.css	D:/httrackdownload/irsad%2022/html.awaikenthemes.com/artistic/freelancer/css/bootstrap.min.css	(from https://html.awaikenthemes.com/artistic/freelancer/index-image.html)
11:51:38	2505/2505	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b30-9c9%22	https://html.awaikenthemes.com/artistic/freelancer/css/slicknav.min.css	D:/httrackdownload/irsad%2022/html.awaikenthemes.com/artistic/freelancer/css/slicknav.min.css	(from https://html.awaikenthemes.com/artistic/freelancer/index-image.html)
11:51:38	18441/18441	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b30-4809%22	https://html.awaikenthemes.com/artistic/freelancer/css/swiper-bundle.min.css	D:/httrackdownload/irsad%2022/html.awaikenthemes.com/artistic/freelancer/css/swiper-bundle.min.css	(from https://html.awaikenthemes.com/artistic/freelancer/index-image.html)
11:51:39	73890/73890	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b30-120a2%22	https://html.awaikenthemes.com/artistic/freelancer/css/all.min.css	D:/httrackdownload/irsad%2022/html.awaikenthemes.com/artistic/freelancer/css/all.min.css	(from https://html.awaikenthemes.com/artistic/freelancer/index-image.html)
11:51:39	76809/76809	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b30-12c09%22	https://html.awaikenthemes.com/artistic/freelancer/css/animate.css	D:/httrackdownload/irsad%2022/html.awaikenthemes.com/artistic/freelancer/css/animate.css	(from https://html.awaikenthemes.com/artistic/freelancer/index-image.html)
11:51:39	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b30-1b27%22	https://html.awaikenthemes.com/artistic/freelancer/css/magnific-popup.css	D:/httrackdownload/irsad%2022/html.awaikenthemes.com/artistic/freelancer/css/magnific-popup.css	(from https://html.awaikenthemes.com/artistic/freelancer/index-image.html)
11:51:39	6892/6892	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b30-1aec%22	https://html.awaikenthemes.com/artistic/freelancer/css/mousecursor.css	D:/httrackdownload/irsad%2022/html.awaikenthemes.com/artistic/freelancer/css/mousecursor.css	(from https://html.awaikenthemes.com/artistic/freelancer/index-image.html)
11:51:40	150141/150141	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b30-24a7d%22	https://html.awaikenthemes.com/artistic/freelancer/css/custom.css	D:/httrackdownload/irsad%2022/html.awaikenthemes.com/artistic/freelancer/css/custom.css	(from https://html.awaikenthemes.com/artistic/freelancer/index-image.html)
11:51:40	901/901	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b30-385%22	https://html.awaikenthemes.com/artistic/freelancer/images/loader.svg	D:/httrackdownload/irsad%2022/html.awaikenthemes.com/artistic/freelancer/images/loader.svg	(from https://html.awaikenthemes.com/artistic/freelancer/index-image.html)
11:51:40	6672/6672	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b30-1a10%22	https://html.awaikenthemes.com/artistic/freelancer/images/logo.svg	D:/httrackdownload/irsad%2022/html.awaikenthemes.com/artistic/freelancer/images/logo.svg	(from https://html.awaikenthemes.com/artistic/freelancer/index-image.html)
