date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:33	73/73	---M--	200	added ('OK')	text/plain	date:Thu,%2027%20Jun%202024%2010:56:03%20GMT	https://aircord.co.jp/robots.txt		(from )
11:28:34	169411/169411	---M-Z	200	added ('OK')	text/html	etag:%22295c3-6340aa715e5b3-gzip%22	https://aircord.co.jp/en/	D:/httrackdownload/irsadanimation/aircord.co.jp/en/index.html	(from )
11:28:34	176438/176438	---M--	200	added ('OK')	image/jpeg	etag:%22ba83a862bfc49c6466b41fb09e0d4a2b%22	https://d38o5po68a0yh9.cloudfront.net/v4/assets/img/ogp.jpg	D:/httrackdownload/irsadanimation/d38o5po68a0yh9.cloudfront.net/v4/assets/img/ogp.jpg	(from https://aircord.co.jp/en/)
11:28:35	3274/3274	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Jun%202024%2010:56:19%20GMT	https://aircord.co.jp/assets/v4/img/icon/apple-touch-icon.png	D:/httrackdownload/irsadanimation/aircord.co.jp/assets/v4/img/icon/apple-touch-icon.png	(from https://aircord.co.jp/en/)
11:28:35	494/494	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Jun%202024%2010:56:19%20GMT	https://aircord.co.jp/assets/v4/img/icon/icon-32x32.png	D:/httrackdownload/irsadanimation/aircord.co.jp/assets/v4/img/icon/icon-32x32.png	(from https://aircord.co.jp/en/)
11:28:36	270/270	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Jun%202024%2010:56:19%20GMT	https://aircord.co.jp/assets/v4/img/icon/icon-16x16.png	D:/httrackdownload/irsadanimation/aircord.co.jp/assets/v4/img/icon/icon-16x16.png	(from https://aircord.co.jp/en/)
11:28:37	9503/9503	---M--	200	added ('OK')	application/x-javascript	etag:%22251f-62cdab641b545%22	https://aircord.co.jp/assets/v4/js/prod-loader.js?v=6812eaacac416	D:/httrackdownload/irsadanimation/aircord.co.jp/assets/v4/js/prod-loader8b8f.js	(from https://aircord.co.jp/en/)
11:28:37	178663/178663	---M-Z	200	added ('OK')	text/html	etag:%222b9e7-6340aa71967ec-gzip%22	https://aircord.co.jp/en/projects/	D:/httrackdownload/irsadanimation/aircord.co.jp/en/projects/index.html	(from https://aircord.co.jp/en/)
11:28:38	194674/194674	---M-Z	200	added ('OK')	text/html	etag:%222f872-6340aa7198a9a-gzip%22	https://aircord.co.jp/en/about/	D:/httrackdownload/irsadanimation/aircord.co.jp/en/about/index.html	(from https://aircord.co.jp/en/)
11:28:38	281265/281265	---M-Z	200	added ('OK')	text/html	etag:%2244ab1-6340aa719a029-gzip%22	https://aircord.co.jp/en/archives/	D:/httrackdownload/irsadanimation/aircord.co.jp/en/archives/index.html	(from https://aircord.co.jp/en/)
11:28:38	9503/9503	---M--	200	added ('OK')	application/x-javascript	etag:%22251f-62cdab641b545%22	https://aircord.co.jp/assets/v4/js/prod-loader.js?v=6812eabb8f8ea	D:/httrackdownload/irsadanimation/aircord.co.jp/assets/v4/js/prod-loader44a8.js	(from https://aircord.co.jp/en/projects/)
11:28:39	181821/181821	---M-Z	200	added ('OK')	text/html	etag:%222c63d-6340aa7213722-gzip%22	https://aircord.co.jp/en/projects/uncovered-skies/	D:/httrackdownload/irsadanimation/aircord.co.jp/en/projects/uncovered-skies/index.html	(from https://aircord.co.jp/en/projects/)
11:28:39	185698/185698	---M-Z	200	added ('OK')	text/html	etag:%222d562-6340aa719d007-gzip%22	https://aircord.co.jp/en/projects/lexus-milan-design-week/	D:/httrackdownload/irsadanimation/aircord.co.jp/en/projects/lexus-milan-design-week/index.html	(from https://aircord.co.jp/en/projects/)
11:28:40	183471/183471	---M-Z	200	added ('OK')	text/html	etag:%222ccaf-6340aa721bb91-gzip%22	https://aircord.co.jp/en/projects/finding-perceptions/	D:/httrackdownload/irsadanimation/aircord.co.jp/en/projects/finding-perceptions/index.html	(from https://aircord.co.jp/en/projects/)
11:28:40	183469/183469	---M-Z	200	added ('OK')	text/html	etag:%222ccad-6340aa721f6dc-gzip%22	https://aircord.co.jp/en/projects/hermes-jingle-games/	D:/httrackdownload/irsadanimation/aircord.co.jp/en/projects/hermes-jingle-games/index.html	(from https://aircord.co.jp/en/projects/)
11:28:40	183566/183566	---M-Z	200	added ('OK')	text/html	etag:%222cd0e-6340aa7220de4-gzip%22	https://aircord.co.jp/en/projects/goldrain-at-paris-descartes/	D:/httrackdownload/irsadanimation/aircord.co.jp/en/projects/goldrain-at-paris-descartes/index.html	(from https://aircord.co.jp/en/projects/)
11:28:41	183364/183364	---M-Z	200	added ('OK')	text/html	etag:%222cc44-6340aa7222ea1-gzip%22	https://aircord.co.jp/en/projects/coca-cola-shibuya-coke-vision/	D:/httrackdownload/irsadanimation/aircord.co.jp/en/projects/coca-cola-shibuya-coke-vision/index.html	(from https://aircord.co.jp/en/projects/)
11:28:41	184934/184934	---M-Z	200	added ('OK')	text/html	etag:%222d266-6340aa7223409-gzip%22	https://aircord.co.jp/en/projects/tohaku-becoming-japanese-art/	D:/httrackdownload/irsadanimation/aircord.co.jp/en/projects/tohaku-becoming-japanese-art/index.html	(from https://aircord.co.jp/en/projects/)
11:28:41	314/314	---M--	200	added ('OK')	image/jpeg	etag:%22d053c69e5c6467b0456c521fa00eff22%22	https://d38o5po68a0yh9.cloudfront.net/v4/uploads/2024/03/about-slide-1-1-4x2.jpg	D:/httrackdownload/irsadanimation/d38o5po68a0yh9.cloudfront.net/v4/uploads/2024/03/about-slide-1-1-4x2.jpg	(from https://aircord.co.jp/en/about/)
11:28:41	183915/183915	---M-Z	200	added ('OK')	text/html	etag:%222ce6b-6340aa7224922-gzip%22	https://aircord.co.jp/en/projects/nissan-imx-demonstrator/	D:/httrackdownload/irsadanimation/aircord.co.jp/en/projects/nissan-imx-demonstrator/index.html	(from https://aircord.co.jp/en/projects/)
11:28:41	184123/184123	---M-Z	200	added ('OK')	text/html	etag:%222cf3b-6340aa7226040-gzip%22	https://aircord.co.jp/en/projects/level-of-distance/	D:/httrackdownload/irsadanimation/aircord.co.jp/en/projects/level-of-distance/index.html	(from https://aircord.co.jp/en/projects/)
11:28:42	189172/189172	---M-Z	200	added ('OK')	text/html	etag:%222e2f4-6340aa722658e-gzip%22	https://aircord.co.jp/en/projects/tokyo-dome-city/	D:/httrackdownload/irsadanimation/aircord.co.jp/en/projects/tokyo-dome-city/index.html	(from https://aircord.co.jp/en/projects/)
11:28:42	193032/193032	---M-Z	200	added ('OK')	text/html	etag:%222f208-6340aa7228b96-gzip%22	https://aircord.co.jp/en/projects/jal-sky-museum/	D:/httrackdownload/irsadanimation/aircord.co.jp/en/projects/jal-sky-museum/index.html	(from https://aircord.co.jp/en/projects/)
11:28:42	318/318	---M--	200	added ('OK')	image/jpeg	etag:%22c0b07791a4cb0bf1a50c0aa68fa15f71%22	https://d38o5po68a0yh9.cloudfront.net/v4/uploads/2024/03/slider_4_1-4x2.jpg	D:/httrackdownload/irsadanimation/d38o5po68a0yh9.cloudfront.net/v4/uploads/2024/03/slider_4_1-4x2.jpg	(from https://aircord.co.jp/en/about/)
11:28:43	9503/9503	---M--	200	added ('OK')	application/x-javascript	etag:%22251f-62cdab641b545%22	https://aircord.co.jp/assets/v4/js/prod-loader.js?v=6812eabc83f5a	D:/httrackdownload/irsadanimation/aircord.co.jp/assets/v4/js/prod-loader3c44.js	(from https://aircord.co.jp/en/about/)
11:28:43	183431/183431	---M-Z	200	added ('OK')	text/html	etag:%222cc87-6340aa722a3b5-gzip%22	https://aircord.co.jp/en/projects/tokyo-city-symphony/	D:/httrackdownload/irsadanimation/aircord.co.jp/en/projects/tokyo-city-symphony/index.html	(from https://aircord.co.jp/en/projects/)
11:28:44	9503/9503	---M--	200	added ('OK')	application/x-javascript	etag:%22251f-62cdab641b545%22	https://aircord.co.jp/assets/v4/js/prod-loader.js?v=6812eabd7f558	D:/httrackdownload/irsadanimation/aircord.co.jp/assets/v4/js/prod-loaderac73.js	(from https://aircord.co.jp/en/archives/)
11:28:44	330/330	---M--	200	added ('OK')	image/jpeg	etag:%222e70cbe0653495d49c50520ec6ef79e4%22	https://d38o5po68a0yh9.cloudfront.net/v4/uploads/2025/04/lexus_01-4x2.jpg	D:/httrackdownload/irsadanimation/d38o5po68a0yh9.cloudfront.net/v4/uploads/2025/04/lexus_01-4x2.jpg	(from https://aircord.co.jp/en/projects/lexus-milan-design-week/)
11:28:45	313/313	---M--	200	added ('OK')	image/jpeg	etag:%2216921db05a816c0d2ab4fb5d53b68efb%22	https://d38o5po68a0yh9.cloudfront.net/v4/uploads/2025/04/lexus_02-4x2.jpg	D:/httrackdownload/irsadanimation/d38o5po68a0yh9.cloudfront.net/v4/uploads/2025/04/lexus_02-4x2.jpg	(from https://aircord.co.jp/en/projects/lexus-milan-design-week/)
11:28:45	308/308	---M--	200	added ('OK')	image/jpeg	etag:%22d807fcae9920a5b69ab7310c80b195db%22	https://d38o5po68a0yh9.cloudfront.net/v4/uploads/2025/04/lexus_03-4x2.jpg	D:/httrackdownload/irsadanimation/d38o5po68a0yh9.cloudfront.net/v4/uploads/2025/04/lexus_03-4x2.jpg	(from https://aircord.co.jp/en/projects/lexus-milan-design-week/)
11:28:46	329/329	---M--	200	added ('OK')	image/jpeg	etag:%224c3925d904d0fd8bce13ff05f7df1c02%22	https://d38o5po68a0yh9.cloudfront.net/v4/uploads/2025/04/lexus_04-4x2.jpg	D:/httrackdownload/irsadanimation/d38o5po68a0yh9.cloudfront.net/v4/uploads/2025/04/lexus_04-4x2.jpg	(from https://aircord.co.jp/en/projects/lexus-milan-design-week/)
11:28:46	324/324	---M--	200	added ('OK')	image/jpeg	etag:%22fc2d92f4da42766eab1473b8c613d258%22	https://d38o5po68a0yh9.cloudfront.net/v4/uploads/2025/04/lexus_05-4x2.jpg	D:/httrackdownload/irsadanimation/d38o5po68a0yh9.cloudfront.net/v4/uploads/2025/04/lexus_05-4x2.jpg	(from https://aircord.co.jp/en/projects/lexus-milan-design-week/)
11:28:47	318/318	---M--	200	added ('OK')	image/jpeg	etag:%225ab6f88829652565461ce1c9ba2d060f%22	https://d38o5po68a0yh9.cloudfront.net/v4/uploads/2025/04/lexus_06-4x2.jpg	D:/httrackdownload/irsadanimation/d38o5po68a0yh9.cloudfront.net/v4/uploads/2025/04/lexus_06-4x2.jpg	(from https://aircord.co.jp/en/projects/lexus-milan-design-week/)
11:28:47	310/310	---M--	200	added ('OK')	image/jpeg	etag:%226b050f3fb6c1e2bbdde187844e0f14c2%22	https://d38o5po68a0yh9.cloudfront.net/v4/uploads/2025/04/lexus_07-4x2.jpg	D:/httrackdownload/irsadanimation/d38o5po68a0yh9.cloudfront.net/v4/uploads/2025/04/lexus_07-4x2.jpg	(from https://aircord.co.jp/en/projects/lexus-milan-design-week/)
11:28:48	319/319	---M--	200	added ('OK')	image/jpeg	etag:%223a27c4ebafe274f02cef89bb4f73baf4%22	https://d38o5po68a0yh9.cloudfront.net/v4/uploads/2025/04/lexus_08-4x2.jpg	D:/httrackdownload/irsadanimation/d38o5po68a0yh9.cloudfront.net/v4/uploads/2025/04/lexus_08-4x2.jpg	(from https://aircord.co.jp/en/projects/lexus-milan-design-week/)
11:28:48	309/309	---M--	200	added ('OK')	image/jpeg	etag:%2227f29dcc258d5320a8bf46869e01faa9%22	https://d38o5po68a0yh9.cloudfront.net/v4/uploads/2025/04/lexus_09-4x2.jpg	D:/httrackdownload/irsadanimation/d38o5po68a0yh9.cloudfront.net/v4/uploads/2025/04/lexus_09-4x2.jpg	(from https://aircord.co.jp/en/projects/lexus-milan-design-week/)
11:28:49	9503/9503	---M--	200	added ('OK')	application/x-javascript	etag:%22251f-62cdab641b545%22	https://aircord.co.jp/assets/v4/js/prod-loader.js?v=6812eabf2572b	D:/httrackdownload/irsadanimation/aircord.co.jp/assets/v4/js/prod-loaderc13d.js	(from https://aircord.co.jp/en/projects/lexus-milan-design-week/)
11:28:49	331/331	---M--	200	added ('OK')	image/jpeg	etag:%220fa52381e3a02b695a1fbbfbdaa2341b%22	https://d38o5po68a0yh9.cloudfront.net/v4/uploads/2019/05/us_1_full_image-4x2.jpg	D:/httrackdownload/irsadanimation/d38o5po68a0yh9.cloudfront.net/v4/uploads/2019/05/us_1_full_image-4x2.jpg	(from https://aircord.co.jp/en/projects/uncovered-skies/)
11:28:50	329/329	---M--	200	added ('OK')	image/jpeg	etag:%224e6e6051ef358c5937829df82f3c9f2d%22	https://d38o5po68a0yh9.cloudfront.net/v4/uploads/2019/05/us_3_1_grid_image-4x3.jpg	D:/httrackdownload/irsadanimation/d38o5po68a0yh9.cloudfront.net/v4/uploads/2019/05/us_3_1_grid_image-4x3.jpg	(from https://aircord.co.jp/en/projects/uncovered-skies/)
11:28:50	348/348	---M--	200	added ('OK')	image/jpeg	etag:%22e6e516e75acccd95f15701eddf761588%22	https://d38o5po68a0yh9.cloudfront.net/v4/uploads/2019/05/us_3_2_grid_image-4x3.jpg	D:/httrackdownload/irsadanimation/d38o5po68a0yh9.cloudfront.net/v4/uploads/2019/05/us_3_2_grid_image-4x3.jpg	(from https://aircord.co.jp/en/projects/uncovered-skies/)
11:28:51	310/310	---M--	200	added ('OK')	image/jpeg	etag:%22956ccde1e3d9fa2b670fe98affab865f%22	https://d38o5po68a0yh9.cloudfront.net/v4/uploads/2019/05/us_4_1_slider_image-4x2.jpg	D:/httrackdownload/irsadanimation/d38o5po68a0yh9.cloudfront.net/v4/uploads/2019/05/us_4_1_slider_image-4x2.jpg	(from https://aircord.co.jp/en/projects/uncovered-skies/)
11:28:51	319/319	---M--	200	added ('OK')	image/jpeg	etag:%22d524daa43d00e4163fcb73da81210a58%22	https://d38o5po68a0yh9.cloudfront.net/v4/uploads/2019/05/us_4_2_slider_image-4x2.jpg	D:/httrackdownload/irsadanimation/d38o5po68a0yh9.cloudfront.net/v4/uploads/2019/05/us_4_2_slider_image-4x2.jpg	(from https://aircord.co.jp/en/projects/uncovered-skies/)
