date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:30	70212/70212	---MCZ	200	added ('OK')	text/html	etag:W/%2267c69b3b-11244%22	https://html.awaikenthemes.com/toplax/index.html	D:/httrackdownload/kamboj%20new/html.awaikenthemes.com/toplax/index.html	(from )
11:52:30	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%2267c54045-1a%22	https://html.awaikenthemes.com/robots.txt		(from )
11:52:30	3487/3487	---M--	200	added ('OK')	image/png	etag:%2267c69b3b-d9f%22	https://html.awaikenthemes.com/toplax/images/favicon.png	D:/httrackdownload/kamboj%20new/html.awaikenthemes.com/toplax/images/favicon.png	(from https://html.awaikenthemes.com/toplax/index.html)
11:52:31	232803/232803	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b3b-38d63%22	https://html.awaikenthemes.com/toplax/css/bootstrap.min.css	D:/httrackdownload/kamboj%20new/html.awaikenthemes.com/toplax/css/bootstrap.min.css	(from https://html.awaikenthemes.com/toplax/index.html)
11:52:31	2505/2505	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b3b-9c9%22	https://html.awaikenthemes.com/toplax/css/slicknav.min.css	D:/httrackdownload/kamboj%20new/html.awaikenthemes.com/toplax/css/slicknav.min.css	(from https://html.awaikenthemes.com/toplax/index.html)
11:52:31	18441/18441	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b3b-4809%22	https://html.awaikenthemes.com/toplax/css/swiper-bundle.min.css	D:/httrackdownload/kamboj%20new/html.awaikenthemes.com/toplax/css/swiper-bundle.min.css	(from https://html.awaikenthemes.com/toplax/index.html)
11:52:31	132658/132658	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b3b-20632%22	https://html.awaikenthemes.com/toplax/css/all.css	D:/httrackdownload/kamboj%20new/html.awaikenthemes.com/toplax/css/all.css	(from https://html.awaikenthemes.com/toplax/index.html)
11:52:31	76809/76809	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b3b-12c09%22	https://html.awaikenthemes.com/toplax/css/animate.css	D:/httrackdownload/kamboj%20new/html.awaikenthemes.com/toplax/css/animate.css	(from https://html.awaikenthemes.com/toplax/index.html)
11:52:32	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b3b-1b27%22	https://html.awaikenthemes.com/toplax/css/magnific-popup.css	D:/httrackdownload/kamboj%20new/html.awaikenthemes.com/toplax/css/magnific-popup.css	(from https://html.awaikenthemes.com/toplax/index.html)
11:52:32	6892/6892	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b3b-1aec%22	https://html.awaikenthemes.com/toplax/css/mousecursor.css	D:/httrackdownload/kamboj%20new/html.awaikenthemes.com/toplax/css/mousecursor.css	(from https://html.awaikenthemes.com/toplax/index.html)
11:52:32	111548/111548	---MCZ	200	added ('OK')	text/css	etag:W/%2267c69b3b-1b3bc%22	https://html.awaikenthemes.com/toplax/css/custom.css	D:/httrackdownload/kamboj%20new/html.awaikenthemes.com/toplax/css/custom.css	(from https://html.awaikenthemes.com/toplax/index.html)
11:52:32	5397/5397	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b3b-1515%22	https://html.awaikenthemes.com/toplax/images/loader.svg	D:/httrackdownload/kamboj%20new/html.awaikenthemes.com/toplax/images/loader.svg	(from https://html.awaikenthemes.com/toplax/index.html)
