date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:07:58	163371/163371	---M-Z	200	added ('OK')	text/html	etag:%2227e2b-67b8a0df-6ae31340fef5fefd;gz%22	https://themedox.com/demo/tourex/index.html	D:/httrackdownload/moxxy/themedox.com/demo/tourex/index.html	(from )
13:07:59	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-130c6e9471c125ff;gz%22	https://themedox.com/robots.txt		(from )
13:07:59	1641/1641	---M--	200	added ('OK')	image/png	etag:%22669-67b8a119-1c1ec682a5c48ea0;;;%22	https://themedox.com/demo/tourex/assets/img/favicon.png	D:/httrackdownload/moxxy/themedox.com/demo/tourex/assets/img/favicon.png	(from https://themedox.com/demo/tourex/index.html)
13:07:59	232906/232906	---M-Z	200	added ('OK')	text/css	etag:%2238dca-67b8a0eb-148fc5afa8088002;gz%22	https://themedox.com/demo/tourex/assets/css/bootstrap.min.css	D:/httrackdownload/moxxy/themedox.com/demo/tourex/assets/css/bootstrap.min.css	(from https://themedox.com/demo/tourex/index.html)
13:07:59	45060/45060	---M-Z	200	added ('OK')	text/css	etag:%22b004-67b8a0e7-1e6f251c297c218e;gz%22	https://themedox.com/demo/tourex/assets/css/animate.min.css	D:/httrackdownload/moxxy/themedox.com/demo/tourex/assets/css/animate.min.css	(from https://themedox.com/demo/tourex/index.html)
13:08:00	5076/5076	---M-Z	200	added ('OK')	text/css	etag:%2213d4-67b8a0ee-d141d602824fc83;gz%22	https://themedox.com/demo/tourex/assets/css/magnific-popup.css	D:/httrackdownload/moxxy/themedox.com/demo/tourex/assets/css/magnific-popup.css	(from https://themedox.com/demo/tourex/index.html)
13:08:00	465644/465644	---M-Z	200	added ('OK')	text/css	etag:%2271aec-67b8a0ef-4e90ddc7b01a9916;gz%22	https://themedox.com/demo/tourex/assets/css/fontawesome-all.min.css	D:/httrackdownload/moxxy/themedox.com/demo/tourex/assets/css/fontawesome-all.min.css	(from https://themedox.com/demo/tourex/index.html)
13:08:00	16862/16862	---M-Z	200	added ('OK')	text/css	etag:%2241de-67b8a0f1-fccbf634cd419729;gz%22	https://themedox.com/demo/tourex/assets/css/swiper-bundle.min.css	D:/httrackdownload/moxxy/themedox.com/demo/tourex/assets/css/swiper-bundle.min.css	(from https://themedox.com/demo/tourex/index.html)
13:08:00	16178/16178	---M-Z	200	added ('OK')	text/css	etag:%223f32-67b8a0ea-9e5b44fd54d7600;gz%22	https://themedox.com/demo/tourex/assets/css/flatpicker.css	D:/httrackdownload/moxxy/themedox.com/demo/tourex/assets/css/flatpicker.css	(from https://themedox.com/demo/tourex/index.html)
13:08:01	2825/2825	---M-Z	200	added ('OK')	text/css	etag:%22b09-67b8a0f0-7513a88792b16475;gz%22	https://themedox.com/demo/tourex/assets/css/odometer.css	D:/httrackdownload/moxxy/themedox.com/demo/tourex/assets/css/odometer.css	(from https://themedox.com/demo/tourex/index.html)
13:08:01	9523/9523	---M-Z	200	added ('OK')	text/css	etag:%222533-67b8a0e9-acc44bb5c2d4da75;gz%22	https://themedox.com/demo/tourex/assets/css/default.css	D:/httrackdownload/moxxy/themedox.com/demo/tourex/assets/css/default.css	(from https://themedox.com/demo/tourex/index.html)
13:08:01	244328/244328	---M-Z	200	added ('OK')	text/css	etag:%223ba68-67b8a0f1-6bb6039f3502bcb4;gz%22	https://themedox.com/demo/tourex/assets/css/main.css	D:/httrackdownload/moxxy/themedox.com/demo/tourex/assets/css/main.css	(from https://themedox.com/demo/tourex/index.html)
13:08:02	1920/1920	---M--	200	added ('OK')	image/png	etag:%22780-67b8a141-e4fb9072587c087b;;;%22	https://themedox.com/demo/tourex/assets/img/logo/logo-white.png	D:/httrackdownload/moxxy/themedox.com/demo/tourex/assets/img/logo/logo-white.png	(from https://themedox.com/demo/tourex/index.html)
13:08:02	3517/3517	---M--	200	added ('OK')	image/png	etag:%22dbd-67b8a141-9d205e6fded9e3de;;;%22	https://themedox.com/demo/tourex/assets/img/logo/logo-green.png	D:/httrackdownload/moxxy/themedox.com/demo/tourex/assets/img/logo/logo-green.png	(from https://themedox.com/demo/tourex/index.html)
13:08:02	208450/208450	---M-Z	200	added ('OK')	text/html	etag:%2232e42-67b8a0da-6803741a80ba9217;gz%22	https://themedox.com/demo/tourex/index-2.html	D:/httrackdownload/moxxy/themedox.com/demo/tourex/index-2.html	(from https://themedox.com/demo/tourex/index.html)
13:08:03	274860/274860	---M-Z	200	added ('OK')	text/html	etag:%22431ac-67b8a0dc-16f6318265e51dcb;gz%22	https://themedox.com/demo/tourex/index-3.html	D:/httrackdownload/moxxy/themedox.com/demo/tourex/index-3.html	(from https://themedox.com/demo/tourex/index.html)
13:08:03	294342/294342	---M-Z	200	added ('OK')	text/html	etag:%2247dc6-67b8a0dd-3226c483165d904;gz%22	https://themedox.com/demo/tourex/index-4.html	D:/httrackdownload/moxxy/themedox.com/demo/tourex/index-4.html	(from https://themedox.com/demo/tourex/index.html)
13:08:04	166408/166408	---M-Z	200	added ('OK')	text/html	etag:%2228a08-67b8a0dd-3821bba796a26e25;gz%22	https://themedox.com/demo/tourex/index-6.html	D:/httrackdownload/moxxy/themedox.com/demo/tourex/index-6.html	(from https://themedox.com/demo/tourex/index.html)
13:08:04	182895/182895	---M-Z	200	added ('OK')	text/html	etag:%222ca6f-67b8a0dd-1aa6f937ad231f60;gz%22	https://themedox.com/demo/tourex/index-5.html	D:/httrackdownload/moxxy/themedox.com/demo/tourex/index-5.html	(from https://themedox.com/demo/tourex/index.html)
13:08:04	191365/191365	---M-Z	200	added ('OK')	text/html	etag:%222eb85-67b8a0de-7cd7d09bd1327eac;gz%22	https://themedox.com/demo/tourex/index-7.html	D:/httrackdownload/moxxy/themedox.com/demo/tourex/index-7.html	(from https://themedox.com/demo/tourex/index.html)
13:08:04	118202/118202	---M-Z	200	added ('OK')	text/html	etag:%221cdba-67b8a0d6-a4c7d729fd4ad923;gz%22	https://themedox.com/demo/tourex/hotel-grid.html	D:/httrackdownload/moxxy/themedox.com/demo/tourex/hotel-grid.html	(from https://themedox.com/demo/tourex/index.html)
13:08:05	127456/127456	---M-Z	200	added ('OK')	text/html	etag:%221f1e0-67b8a0e4-581deb0f56636560;gz%22	https://themedox.com/demo/tourex/tour-grid-1.html	D:/httrackdownload/moxxy/themedox.com/demo/tourex/tour-grid-1.html	(from https://themedox.com/demo/tourex/index.html)
13:08:05	145917/145917	---M-Z	200	added ('OK')	text/html	etag:%22239fd-67b8a0e5-c2fba3b681c06f9;gz%22	https://themedox.com/demo/tourex/tour-grid-2.html	D:/httrackdownload/moxxy/themedox.com/demo/tourex/tour-grid-2.html	(from https://themedox.com/demo/tourex/index.html)
13:08:05	117142/117142	---M-Z	200	added ('OK')	text/html	etag:%221c996-67b8a0df-5bf98b7967fd869d;gz%22	https://themedox.com/demo/tourex/map-listing.html	D:/httrackdownload/moxxy/themedox.com/demo/tourex/map-listing.html	(from https://themedox.com/demo/tourex/index.html)
13:08:05	86174/86174	---M-Z	200	added ('OK')	text/html	etag:%221509e-67b8a0e3-156da987e31e772c;gz%22	https://themedox.com/demo/tourex/tour-details.html	D:/httrackdownload/moxxy/themedox.com/demo/tourex/tour-details.html	(from https://themedox.com/demo/tourex/index.html)
13:08:06	108650/108650	---M-Z	200	added ('OK')	text/html	etag:%221a86a-67b8a0e2-2218e2f2ea5d01c3;gz%22	https://themedox.com/demo/tourex/tour-details-2.html	D:/httrackdownload/moxxy/themedox.com/demo/tourex/tour-details-2.html	(from https://themedox.com/demo/tourex/index.html)
13:08:06	60172/60172	---M-Z	200	added ('OK')	text/html	etag:%22eb0c-67b8a0cf-59386ad0057987b4;gz%22	https://themedox.com/demo/tourex/about.html	D:/httrackdownload/moxxy/themedox.com/demo/tourex/about.html	(from https://themedox.com/demo/tourex/index.html)
13:08:06	44081/44081	---M-Z	200	added ('OK')	text/html	etag:%22ac31-67b8a0e1-3e6d7df3f523765d;gz%22	https://themedox.com/demo/tourex/team.html	D:/httrackdownload/moxxy/themedox.com/demo/tourex/team.html	(from https://themedox.com/demo/tourex/index.html)
13:08:06	40153/40153	---M-Z	200	added ('OK')	text/html	etag:%229cd9-67b8a0e1-3811b64adba4c320;gz%22	https://themedox.com/demo/tourex/team-details.html	D:/httrackdownload/moxxy/themedox.com/demo/tourex/team-details.html	(from https://themedox.com/demo/tourex/index.html)
13:08:07	90766/90766	---M-Z	200	added ('OK')	text/html	etag:%221628e-67b8a0e1-e2ad334b4f5318f6;gz%22	https://themedox.com/demo/tourex/shop.html	D:/httrackdownload/moxxy/themedox.com/demo/tourex/shop.html	(from https://themedox.com/demo/tourex/index.html)
13:08:07	61154/61154	---M-Z	200	added ('OK')	text/html	etag:%22eee2-67b8a0e1-fef55f55816f3194;gz%22	https://themedox.com/demo/tourex/shop-details.html	D:/httrackdownload/moxxy/themedox.com/demo/tourex/shop-details.html	(from https://themedox.com/demo/tourex/index.html)
13:08:07	41973/41973	---M-Z	200	added ('OK')	text/html	etag:%22a3f5-67b8a0d2-c078c157b5f36941;gz%22	https://themedox.com/demo/tourex/cart.html	D:/httrackdownload/moxxy/themedox.com/demo/tourex/cart.html	(from https://themedox.com/demo/tourex/index.html)
13:08:08	43859/43859	---M-Z	200	added ('OK')	text/html	etag:%22ab53-67b8a0d2-dd24ae5e6474144b;gz%22	https://themedox.com/demo/tourex/checkout.html	D:/httrackdownload/moxxy/themedox.com/demo/tourex/checkout.html	(from https://themedox.com/demo/tourex/index.html)
13:08:08	57929/57929	---M-Z	200	added ('OK')	text/html	etag:%22e249-67b8a0e0-bdc56bb182038c3e;gz%22	https://themedox.com/demo/tourex/pricing.html	D:/httrackdownload/moxxy/themedox.com/demo/tourex/pricing.html	(from https://themedox.com/demo/tourex/index.html)
