date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:43:13	65897/65897	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Jan%202025%2018:17:17%20GMT	https://html.narzotech.com/servian/index.html	D:/httrackdownload/sharmaro/html.narzotech.com/servian/index.html	(from )
11:43:14	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Oct%202025%2006:13:14%20GMT	https://html.narzotech.com/robots.txt		(from )
11:43:14	1754/1754	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Aug%202024%2007:28:42%20GMT	https://html.narzotech.com/servian/assets/images/favicon.png	D:/httrackdownload/sharmaro/html.narzotech.com/servian/assets/images/favicon.png	(from https://html.narzotech.com/servian/index.html)
11:43:14	59348/59348	---M-Z	200	added ('OK')	text/css	date:Sat,%2024%20Aug%202024%2007:28:42%20GMT	https://html.narzotech.com/servian/assets/css/all.min.css	D:/httrackdownload/sharmaro/html.narzotech.com/servian/assets/css/all.min.css	(from https://html.narzotech.com/servian/index.html)
11:43:14	232953/232953	---M-Z	200	added ('OK')	text/css	date:Sat,%2024%20Aug%202024%2007:28:42%20GMT	https://html.narzotech.com/servian/assets/css/bootstrap.min.css	D:/httrackdownload/sharmaro/html.narzotech.com/servian/assets/css/bootstrap.min.css	(from https://html.narzotech.com/servian/index.html)
11:43:15	25555/25555	---M-Z	200	added ('OK')	text/css	date:Sat,%2024%20Aug%202024%2007:28:42%20GMT	https://html.narzotech.com/servian/assets/css/venobox.min.css	D:/httrackdownload/sharmaro/html.narzotech.com/servian/assets/css/venobox.min.css	(from https://html.narzotech.com/servian/index.html)
11:43:15	1888/1888	---M-Z	200	added ('OK')	text/css	date:Sat,%2024%20Aug%202024%2007:28:42%20GMT	https://html.narzotech.com/servian/assets/css/slick.css	D:/httrackdownload/sharmaro/html.narzotech.com/servian/assets/css/slick.css	(from https://html.narzotech.com/servian/index.html)
11:43:15	2022/2022	---M-Z	200	added ('OK')	text/css	date:Sat,%2024%20Aug%202024%2007:28:42%20GMT	https://html.narzotech.com/servian/assets/css/scroll_button.css	D:/httrackdownload/sharmaro/html.narzotech.com/servian/assets/css/scroll_button.css	(from https://html.narzotech.com/servian/index.html)
11:43:15	141083/141083	---M-Z	200	added ('OK')	text/css	date:Sat,%2024%20Aug%202024%2007:28:42%20GMT	https://html.narzotech.com/servian/assets/css/custom_spacing.css	D:/httrackdownload/sharmaro/html.narzotech.com/servian/assets/css/custom_spacing.css	(from https://html.narzotech.com/servian/index.html)
11:43:15	20074/20074	---M-Z	200	added ('OK')	text/css	date:Sat,%2024%20Aug%202024%2007:28:42%20GMT	https://html.narzotech.com/servian/assets/css/select2.min.css	D:/httrackdownload/sharmaro/html.narzotech.com/servian/assets/css/select2.min.css	(from https://html.narzotech.com/servian/index.html)
11:43:16	59839/59839	---M-Z	200	added ('OK')	text/css	date:Sat,%2024%20Aug%202024%2007:28:42%20GMT	https://html.narzotech.com/servian/assets/css/animate.css	D:/httrackdownload/sharmaro/html.narzotech.com/servian/assets/css/animate.css	(from https://html.narzotech.com/servian/index.html)
11:43:16	3911/3911	---M-Z	200	added ('OK')	text/css	date:Sat,%2024%20Aug%202024%2007:28:42%20GMT	https://html.narzotech.com/servian/assets/css/nice-select.css	D:/httrackdownload/sharmaro/html.narzotech.com/servian/assets/css/nice-select.css	(from https://html.narzotech.com/servian/index.html)
11:43:16	5123/5123	---M-Z	200	added ('OK')	text/css	date:Sat,%2024%20Aug%202024%2007:28:42%20GMT	https://html.narzotech.com/servian/assets/css/range_slider.css	D:/httrackdownload/sharmaro/html.narzotech.com/servian/assets/css/range_slider.css	(from https://html.narzotech.com/servian/index.html)
11:43:16	989/989	---M-Z	200	added ('OK')	text/css	date:Sat,%2024%20Aug%202024%2007:28:42%20GMT	https://html.narzotech.com/servian/assets/css/jQuery-plugin-progressbar.css	D:/httrackdownload/sharmaro/html.narzotech.com/servian/assets/css/jQuery-plugin-progressbar.css	(from https://html.narzotech.com/servian/index.html)
