date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:23	65372/65372	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Mar%202025%2012:35:24%20GMT	https://carrgo.pages.dev/	D:/httrackdownload/taxi/carrgo.pages.dev/index.html	(from )
18:05:23	7974/7974	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Mar%202025%2012:35:24%20GMT	https://carrgo.pages.dev/robots.txt		(from )
18:05:23	146/146	---M--	200	added ('OK')	image/webp	etag:%22212f686546f70472806fc4057c716dfe%22	https://carrgo.pages.dev/assets/images/favicon-16x16.webp	D:/httrackdownload/taxi/carrgo.pages.dev/assets/images/favicon-16x16.webp	(from https://carrgo.pages.dev/)
18:05:23	232803/232803	---MCZ	200	added ('OK')	text/css	etag:W/%22c1d5ff715179dde958dec958cb2e0620%22	https://carrgo.pages.dev/assets/plugins/bootstrap/css/bootstrap.min.css	D:/httrackdownload/taxi/carrgo.pages.dev/assets/plugins/bootstrap/css/bootstrap.min.css	(from https://carrgo.pages.dev/)
18:05:24	56449/56449	---MCZ	200	added ('OK')	text/css	etag:W/%22d3599971dd46912e95fafccbe40b0c9d%22	https://carrgo.pages.dev/assets/plugins/animate/animate.css	D:/httrackdownload/taxi/carrgo.pages.dev/assets/plugins/animate/animate.css	(from https://carrgo.pages.dev/)
18:05:24	18456/18456	---MCZ	200	added ('OK')	text/css	etag:W/%228b9f45b034e6bacced9469430b45d354%22	https://carrgo.pages.dev/assets/plugins/swiper/swiper-bundle.min.css	D:/httrackdownload/taxi/carrgo.pages.dev/assets/plugins/swiper/swiper-bundle.min.css	(from https://carrgo.pages.dev/)
18:05:24	97546/97546	---MCZ	200	added ('OK')	text/css	etag:W/%22a9a9c6cda8017a0efeab0ffed17e29f4%22	https://carrgo.pages.dev/assets/icons/font-awesome/css/all.min.css	D:/httrackdownload/taxi/carrgo.pages.dev/assets/icons/font-awesome/css/all.min.css	(from https://carrgo.pages.dev/)
18:05:24	136183/136183	---MCZ	200	added ('OK')	text/css	etag:W/%226742fad9bc38aefeaa4db679a1dc3e40%22	https://carrgo.pages.dev/assets/css/style.min.css	D:/httrackdownload/taxi/carrgo.pages.dev/assets/css/style.min.css	(from https://carrgo.pages.dev/)
18:05:24	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2020%20Mar%202025%2012:35:25%20GMT	https://carrgo.pages.dev/index.html	D:/httrackdownload/taxi/carrgo.pages.dev/index-2.html	(from https://carrgo.pages.dev/)
18:05:25	3753/3753	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c744bb6d5e4552367a4b5b4b4a262d1%22	https://carrgo.pages.dev/assets/images/logo-icon-desktop.svg	D:/httrackdownload/taxi/carrgo.pages.dev/assets/images/logo-icon-desktop.svg	(from https://carrgo.pages.dev/)
18:05:25	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2020%20Mar%202025%2012:35:26%20GMT	https://carrgo.pages.dev/index.html	D:/httrackdownload/taxi/carrgo.pages.dev/index-2.html	(from https://carrgo.pages.dev/)
18:05:25	2754/2754	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d8107c1efaa4d3c6f2e0d0d0ff084233%22	https://carrgo.pages.dev/assets/images/logo-icon-sm.svg	D:/httrackdownload/taxi/carrgo.pages.dev/assets/images/logo-icon-sm.svg	(from https://carrgo.pages.dev/)
18:05:25	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2020%20Mar%202025%2012:35:26%20GMT	https://carrgo.pages.dev/sign-up.html	D:/httrackdownload/taxi/carrgo.pages.dev/sign-up.html	(from https://carrgo.pages.dev/)
18:05:26	38207/38207	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Mar%202025%2012:35:27%20GMT	https://carrgo.pages.dev/sign-up	D:/httrackdownload/taxi/carrgo.pages.dev/sign-up.html	(from https://carrgo.pages.dev/)
18:05:26	37275/37275	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Mar%202025%2012:35:27%20GMT	https://carrgo.pages.dev/dashboard/	D:/httrackdownload/taxi/carrgo.pages.dev/dashboard/index.html	(from https://carrgo.pages.dev/)
18:05:26	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2020%20Mar%202025%2012:35:27%20GMT	https://carrgo.pages.dev/book-a-ride.html	D:/httrackdownload/taxi/carrgo.pages.dev/book-a-ride.c.delayed	(from https://carrgo.pages.dev/)
18:05:27	52506/52506	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Mar%202025%2012:35:28%20GMT	https://carrgo.pages.dev/book-a-ride	D:/httrackdownload/taxi/carrgo.pages.dev/book-a-ride.html	(from https://carrgo.pages.dev/)
18:05:27	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2020%20Mar%202025%2012:35:28%20GMT	https://carrgo.pages.dev/index.html	D:/httrackdownload/taxi/carrgo.pages.dev/index-2.html	(from https://carrgo.pages.dev/)
18:05:27	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2020%20Mar%202025%2012:35:28%20GMT	https://carrgo.pages.dev/index.html	D:/httrackdownload/taxi/carrgo.pages.dev/index-2.html	(from https://carrgo.pages.dev/)
18:05:27	0/0	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2020%20Mar%202025%2012:35:28%20GMT	https://carrgo.pages.dev/index-2.html	D:/httrackdownload/taxi/carrgo.pages.dev/index-2.html	(from https://carrgo.pages.dev/)
18:05:28	50398/50398	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Mar%202025%2012:35:29%20GMT	https://carrgo.pages.dev/index-2	D:/httrackdownload/taxi/carrgo.pages.dev/index-2.html	(from https://carrgo.pages.dev/)
18:05:28	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2020%20Mar%202025%2012:35:29%20GMT	https://carrgo.pages.dev/index-3.html	D:/httrackdownload/taxi/carrgo.pages.dev/index-3.html	(from https://carrgo.pages.dev/)
18:05:28	58723/58723	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Mar%202025%2012:35:29%20GMT	https://carrgo.pages.dev/index-3	D:/httrackdownload/taxi/carrgo.pages.dev/index-3.html	(from https://carrgo.pages.dev/)
