date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:06:27	50033/50033	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202025%2012:06:16%20GMT	https://html.kodesolution.com/2024/citycar-html/index.html	D:/httrackdownload/taxi2/html.kodesolution.com/2024/citycar-html/index.html	(from )
18:06:28	720/720	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Mar%202025%2012:36:29%20GMT	https://html.kodesolution.com/robots.txt		(from )
18:06:28	155823/155823	---MCZ	200	added ('OK')	text/css	date:Sat,%2028%20Sep%202024%2009:35:03%20GMT	https://html.kodesolution.com/2024/citycar-html/css/bootstrap.min.css	D:/httrackdownload/taxi2/html.kodesolution.com/2024/citycar-html/css/bootstrap.min.css	(from https://html.kodesolution.com/2024/citycar-html/index.html)
18:06:28	468259/468259	---MCZ	200	added ('OK')	text/css	date:Sat,%2028%20Sep%202024%2009:54:51%20GMT	https://html.kodesolution.com/2024/citycar-html/css/style.css	D:/httrackdownload/taxi2/html.kodesolution.com/2024/citycar-html/css/style.css	(from https://html.kodesolution.com/2024/citycar-html/index.html)
18:06:28	779/779	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Sep%202024%2007:35:04%20GMT	https://html.kodesolution.com/2024/citycar-html/images/favicon.png	D:/httrackdownload/taxi2/html.kodesolution.com/2024/citycar-html/images/favicon.png	(from https://html.kodesolution.com/2024/citycar-html/index.html)
18:06:29	1605/1605	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Sep%202024%2007:35:04%20GMT	https://html.kodesolution.com/2024/citycar-html/images/logo-2.png	D:/httrackdownload/taxi2/html.kodesolution.com/2024/citycar-html/images/logo-2.png	(from https://html.kodesolution.com/2024/citycar-html/index.html)
18:06:30	46302/46302	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202025%2012:06:16%20GMT	https://html.kodesolution.com/2024/citycar-html/index-2.html	D:/httrackdownload/taxi2/html.kodesolution.com/2024/citycar-html/index-2.html	(from https://html.kodesolution.com/2024/citycar-html/index.html)
18:06:30	53388/53388	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202025%2012:06:16%20GMT	https://html.kodesolution.com/2024/citycar-html/index-3.html	D:/httrackdownload/taxi2/html.kodesolution.com/2024/citycar-html/index-3.html	(from https://html.kodesolution.com/2024/citycar-html/index.html)
18:06:31	35181/35181	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202025%2012:06:16%20GMT	https://html.kodesolution.com/2024/citycar-html/page-about.html	D:/httrackdownload/taxi2/html.kodesolution.com/2024/citycar-html/page-about.html	(from https://html.kodesolution.com/2024/citycar-html/index.html)
18:06:31	18411/18411	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202025%2012:06:16%20GMT	https://html.kodesolution.com/2024/citycar-html/page-booking.html	D:/httrackdownload/taxi2/html.kodesolution.com/2024/citycar-html/page-booking.html	(from https://html.kodesolution.com/2024/citycar-html/index.html)
