date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:22	96676/96676	---M-Z	200	added ('OK')	text/html	etag:%22179a4-68d38e72-d25615cc76309171;gz%22	https://html.rrdevs.net/synvo/index.html	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/index.html	(from )
14:42:23	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-48ceae123dfb1535;gz%22	https://html.rrdevs.net/robots.txt		(from )
14:42:24	961/961	---M--	200	added ('OK')	image/png	etag:%223c1-68d38e9e-e207a28ad26bb99b;;;%22	https://html.rrdevs.net/synvo/assets/imgs/logo/favicon.png	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/assets/imgs/logo/favicon.png	(from https://html.rrdevs.net/synvo/index.html)
14:42:24	193554/193554	---M-Z	200	added ('OK')	text/css	etag:%222f412-68d38e75-a32f4f19c6f14d03;gz%22	https://html.rrdevs.net/synvo/assets/css/bootstrap.min.css	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/assets/css/bootstrap.min.css	(from https://html.rrdevs.net/synvo/index.html)
14:42:25	16375/16375	---M-Z	200	added ('OK')	text/css	etag:%223ff7-68d38e77-e05386ef629cc426;gz%22	https://html.rrdevs.net/synvo/assets/css/swiper-bundle.min.css	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/assets/css/swiper-bundle.min.css	(from https://html.rrdevs.net/synvo/index.html)
14:42:25	537862/537862	---M-Z	200	added ('OK')	text/css	etag:%2283506-68d38e76-30348ff383dac21d;gz%22	https://html.rrdevs.net/synvo/assets/css/fontawesome-pro.css	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/assets/css/fontawesome-pro.css	(from https://html.rrdevs.net/synvo/index.html)
14:42:26	2051/2051	---M-Z	200	added ('OK')	text/css	etag:%22803-68d38e76-cd0a71801a9c5152;gz%22	https://html.rrdevs.net/synvo/assets/css/progressbar.css	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/assets/css/progressbar.css	(from https://html.rrdevs.net/synvo/index.html)
14:42:26	2626/2626	---M-Z	200	added ('OK')	text/css	etag:%22a42-68d38e75-47a05626ecb42faa;gz%22	https://html.rrdevs.net/synvo/assets/css/meanmenu.min.css	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/assets/css/meanmenu.min.css	(from https://html.rrdevs.net/synvo/index.html)
14:42:27	7192/7192	---M-Z	200	added ('OK')	text/css	etag:%221c18-68d38e75-d6221360764e1abc;gz%22	https://html.rrdevs.net/synvo/assets/css/magnific-popup.css	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/assets/css/magnific-popup.css	(from https://html.rrdevs.net/synvo/index.html)
14:42:27	75703/75703	---M-Z	200	added ('OK')	text/css	etag:%22127b7-68d38e75-e0de6548ad581e47;gz%22	https://html.rrdevs.net/synvo/assets/css/animate.min.css	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/assets/css/animate.min.css	(from https://html.rrdevs.net/synvo/index.html)
14:42:27	3563/3563	---M-Z	200	added ('OK')	text/css	etag:%22deb-68d38e76-cc46904de8997359;gz%22	https://html.rrdevs.net/synvo/assets/css/odometer-theme-default.css	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/assets/css/odometer-theme-default.css	(from https://html.rrdevs.net/synvo/index.html)
14:42:28	4007/4007	---M-Z	200	added ('OK')	text/css	etag:%22fa7-68d38e76-27f702fa294fcb12;gz%22	https://html.rrdevs.net/synvo/assets/css/nice-select.css	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/assets/css/nice-select.css	(from https://html.rrdevs.net/synvo/index.html)
14:42:29	267311/267311	---M-Z	200	added ('OK')	text/css	etag:%224142f-68d38e77-d28b7a3ff8b166e9;gz%22	https://html.rrdevs.net/synvo/assets/css/style.css	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/assets/css/style.css	(from https://html.rrdevs.net/synvo/index.html)
14:42:29	14700/14700	---M--	200	added ('OK')	image/png	etag:%22396c-68d38e9f-68d72f92d70664d;;;%22	https://html.rrdevs.net/synvo/assets/imgs/logo/logo.png	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/assets/imgs/logo/logo.png	(from https://html.rrdevs.net/synvo/index.html)
14:42:29	22012/22012	---M-Z	200	added ('OK')	text/html	etag:%2255fc-68d38e6e-3475e3e57ae4ea51;gz%22	https://html.rrdevs.net/synvo/contact.html	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/contact.html	(from https://html.rrdevs.net/synvo/index.html)
14:42:29	1932/1932	---M--	200	added ('OK')	image/webp	etag:%2278c-68d38ea3-44bfdc2f6d4786a;;;%22	https://html.rrdevs.net/synvo/assets/imgs/shape/shape-1.webp	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/assets/imgs/shape/shape-1.webp	(from https://html.rrdevs.net/synvo/index.html)
14:42:30	11072/11072	---M--	200	added ('OK')	image/png	etag:%222b40-68d38e9e-f9dbb826911916bc;;;%22	https://html.rrdevs.net/synvo/assets/imgs/logo/logo-2-light.png	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/assets/imgs/logo/logo-2-light.png	(from https://html.rrdevs.net/synvo/index.html)
14:42:30	96676/96676	---M-Z	200	added ('OK')	text/html	etag:%22179a4-68d38e70-5607a45a80b3cc53;gz%22	https://html.rrdevs.net/synvo/home-1.html	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/home-1.html	(from https://html.rrdevs.net/synvo/index.html)
14:42:30	67089/67089	---M-Z	200	added ('OK')	text/html	etag:%2210611-68d38e71-835cd5b6d1370d2;gz%22	https://html.rrdevs.net/synvo/home-2.html	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/home-2.html	(from https://html.rrdevs.net/synvo/index.html)
14:42:31	64384/64384	---M-Z	200	added ('OK')	text/html	etag:%22fb80-68d38e72-7349fe6cdefb0069;gz%22	https://html.rrdevs.net/synvo/home-3.html	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/home-3.html	(from https://html.rrdevs.net/synvo/index.html)
14:42:31	37862/37862	---M-Z	200	added ('OK')	text/html	etag:%2293e6-68d38e6d-e4aa127e317bb009;gz%22	https://html.rrdevs.net/synvo/about.html	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/about.html	(from https://html.rrdevs.net/synvo/index.html)
14:42:32	24157/24157	---M-Z	200	added ('OK')	text/html	etag:%225e5d-68d38e73-9d68555eeba12679;gz%22	https://html.rrdevs.net/synvo/projects.html	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/projects.html	(from https://html.rrdevs.net/synvo/index.html)
14:42:32	29840/29840	---M-Z	200	added ('OK')	text/html	etag:%227490-68d38e72-463e2e1c144e9dfa;gz%22	https://html.rrdevs.net/synvo/project-details.html	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/project-details.html	(from https://html.rrdevs.net/synvo/index.html)
14:42:32	25345/25345	---M-Z	200	added ('OK')	text/html	etag:%226301-68d38e72-b408b1f1af3457d4;gz%22	https://html.rrdevs.net/synvo/pricing.html	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/pricing.html	(from https://html.rrdevs.net/synvo/index.html)
14:42:33	26816/26816	---M-Z	200	added ('OK')	text/html	etag:%2268c0-68d38e73-c0fcd8e35f245b81;gz%22	https://html.rrdevs.net/synvo/team.html	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/team.html	(from https://html.rrdevs.net/synvo/index.html)
14:42:33	19422/19422	---M-Z	200	added ('OK')	text/html	etag:%224bde-68d38e73-90aecd48f15b1e07;gz%22	https://html.rrdevs.net/synvo/team-details.html	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/team-details.html	(from https://html.rrdevs.net/synvo/index.html)
14:42:34	17204/17204	---M-Z	200	added ('OK')	text/html	etag:%224334-68d38e6d-816530c4b00b66b1;gz%22	https://html.rrdevs.net/synvo/404.html	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/404.html	(from https://html.rrdevs.net/synvo/index.html)
14:42:34	25251/25251	---M-Z	200	added ('OK')	text/html	etag:%2262a3-68d38e73-8208184e2138036a;gz%22	https://html.rrdevs.net/synvo/service.html	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/service.html	(from https://html.rrdevs.net/synvo/index.html)
14:42:34	23222/23222	---M-Z	200	added ('OK')	text/html	etag:%225ab6-68d38e73-4da5424c79deb80b;gz%22	https://html.rrdevs.net/synvo/service-details.html	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/service-details.html	(from https://html.rrdevs.net/synvo/index.html)
14:42:35	28513/28513	---M-Z	200	added ('OK')	text/html	etag:%226f61-68d38e6f-b8c31f77f38954c1;gz%22	https://html.rrdevs.net/synvo/blog.html	D:/httrackdownload/ubiindia/html.rrdevs.net/synvo/blog.html	(from https://html.rrdevs.net/synvo/index.html)
