date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:59:06	58/58	---MCZ	200	added ('OK')	text/plain	date:Wed,%2011%20Jun%202025%2006:29:06%20GMT	https://www.eco4govscheme.co.uk/robots.txt		(from )
11:59:07	238308/238308	---M-Z	200	added ('OK')	text/html	etag:%22l:1e4520b0aeb1462ea9ac6d304e1f16a0%22	https://www.eco4govscheme.co.uk/	D:/httrackdownload/uknam/www.eco4govscheme.co.uk/index.html	(from )
11:59:08	4135/4135	---M--	200	added ('OK')	image/png	etag:%228da3cdf39caa313c03961a135f8c10f8%22	http://d9hhrg4mnvzow.cloudfront.net/www.eco4govscheme.co.uk/9b8602d4-eco4-1.png	D:/httrackdownload/uknam/d9hhrg4mnvzow.cloudfront.net/www.eco4govscheme.co.uk/9b8602d4-eco4-1.png	(from https://www.eco4govscheme.co.uk/)
11:59:12	16794/16794	---M--	200	added ('OK')	image/png	etag:%221f83ad89634e87c74efb2e5808d76f3c%22	http://d9hhrg4mnvzow.cloudfront.net/www.eco4govscheme.co.uk/bf2d9408-untitled-design-2023-11-02t162456-226_10000000uk0mw0000gb028.png	D:/httrackdownload/uknam/d9hhrg4mnvzow.cloudfront.net/www.eco4govscheme.co.uk/bf2d9408-untitled-design-2023-11-02t162456-226_10000000uk0mw0000gb028.png	(from https://www.eco4govscheme.co.uk/)
11:59:15	44929/44929	---M--	200	added ('OK')	image/png	etag:%22301004cf2d0a7099ba19ccf3f0f665fa%22	http://d9hhrg4mnvzow.cloudfront.net/www.eco4govscheme.co.uk/bf2d9408-untitled-design-2023-11-02t162456-226_10000000uk1fn00001y028.png	D:/httrackdownload/uknam/d9hhrg4mnvzow.cloudfront.net/www.eco4govscheme.co.uk/bf2d9408-untitled-design-2023-11-02t162456-226_10000000uk1fn00001y028.png	(from https://www.eco4govscheme.co.uk/)
11:59:16	20414/20414	---M--	200	added ('OK')	image/png	etag:%227a830ce6efda4a7fe968915f582bb942%22	http://d9hhrg4mnvzow.cloudfront.net/www.eco4govscheme.co.uk/bf2d9408-untitled-design-2023-11-02t162456-226_10000000df1jk08k000028.png	D:/httrackdownload/uknam/d9hhrg4mnvzow.cloudfront.net/www.eco4govscheme.co.uk/bf2d9408-untitled-design-2023-11-02t162456-226_10000000df1jk08k000028.png	(from https://www.eco4govscheme.co.uk/)
11:59:20	21539/21539	---M--	200	added ('OK')	image/png	etag:%22087e63438e32388e387530426ae479fc%22	http://d9hhrg4mnvzow.cloudfront.net/www.eco4govscheme.co.uk/bf2d9408-untitled-design-2023-11-02t162456-226_10go0ub000000000000028.png	D:/httrackdownload/uknam/d9hhrg4mnvzow.cloudfront.net/www.eco4govscheme.co.uk/bf2d9408-untitled-design-2023-11-02t162456-226_10go0ub000000000000028.png	(from https://www.eco4govscheme.co.uk/)
11:59:20	15106/15106	---M-Z	200	added ('OK')	text/css	etag:%2287817445cd6e7e09df6e9d320df8bb84%22	http://builder-assets.unbounce.com/published-css/main-ebbfc5e.z.css	D:/httrackdownload/uknam/builder-assets.unbounce.com/published-css/main-ebbfc5e.z.css	(from https://www.eco4govscheme.co.uk/)
11:59:23	90553/90553	---M--	200	added ('OK')	image/png	etag:%224593eb8be93f4b59e0e6af8d5f53b9e1%22	http://d9hhrg4mnvzow.cloudfront.net/www.eco4govscheme.co.uk/39b24eab-untitled-design-2024-11-27t171747-184_1000000000000000000028.png	D:/httrackdownload/uknam/d9hhrg4mnvzow.cloudfront.net/www.eco4govscheme.co.uk/39b24eab-untitled-design-2024-11-27t171747-184_1000000000000000000028.png	(from https://www.eco4govscheme.co.uk/)
11:59:23	50065/50065	---M--	200	added ('OK')	image/png	etag:%227b611f7cea48f8be87de2439f1d06993%22	http://d9hhrg4mnvzow.cloudfront.net/www.eco4govscheme.co.uk/bf2d9408-untitled-design-2023-11-02t162456-226_1000000000000000000028.png	D:/httrackdownload/uknam/d9hhrg4mnvzow.cloudfront.net/www.eco4govscheme.co.uk/bf2d9408-untitled-design-2023-11-02t162456-226_1000000000000000000028.png	(from https://www.eco4govscheme.co.uk/)
