date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:04:12	163216/163216	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/index-3.html	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/index-3.html	(from )
11:04:13	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Feb%202026%2005:34:13%20GMT	https://bracketweb.com/robots.txt		(from )
11:04:13	24503/24503	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/assets/images/favicons/apple-touch-icon.png	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/assets/images/favicons/apple-touch-icon.png	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:14	2404/2404	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/assets/images/favicons/favicon-32x32.png	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/assets/images/favicons/favicon-32x32.png	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:14	877/877	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/assets/images/favicons/favicon-16x16.png	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/assets/images/favicons/favicon-16x16.png	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:14	263/263	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/assets/images/favicons/site.webmanifest	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/assets/images/favicons/site.webmanifest	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:15	232919/232919	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/assets/vendors/bootstrap/css/bootstrap.min.css	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/assets/vendors/bootstrap/css/bootstrap.min.css	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:15	11832/11832	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/assets/vendors/bootstrap-select/bootstrap-select.min.css	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/assets/vendors/bootstrap-select/bootstrap-select.min.css	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:15	26053/26053	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/assets/vendors/aos/css/aos.css	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/assets/vendors/aos/css/aos.css	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:16	59348/59348	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/assets/vendors/fontawesome/css/all.min.css	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/assets/vendors/fontawesome/css/all.min.css	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:16	34763/34763	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/assets/vendors/jquery-ui/jquery-ui.css	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/assets/vendors/jquery-ui/jquery-ui.css	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:16	335/335	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/assets/vendors/jarallax/jarallax.css	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/assets/vendors/jarallax/jarallax.css	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:17	7302/7302	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.css	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.css	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:17	3678/3678	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/assets/vendors/visanet-icons/style.css	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/assets/vendors/visanet-icons/style.css	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:17	8069/8069	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/assets/vendors/daterangepicker-master/daterangepicker.css	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/assets/vendors/daterangepicker-master/daterangepicker.css	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:18	1895/1895	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/assets/vendors/slick/slick.css	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/assets/vendors/slick/slick.css	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:18	3356/3356	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/assets/vendors/owl-carousel/css/owl.carousel.min.css	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/assets/vendors/owl-carousel/css/owl.carousel.min.css	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:18	1018/1018	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/assets/vendors/owl-carousel/css/owl.theme.default.min.css	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/assets/vendors/owl-carousel/css/owl.theme.default.min.css	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:19	11785/11785	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/assets/images/loader.png	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/assets/images/loader.png	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:20	514579/514579	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/assets/css/visanet.css	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/assets/css/visanet.css	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:21	209574/209574	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/index.html	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/index.html	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:21	5026/5026	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/assets/images/logo-dark.png	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/assets/images/logo-dark.png	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:21	58370/58370	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/assets/images/visanet-landing/home-1.jpg	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/assets/images/visanet-landing/home-1.jpg	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:22	200071/200071	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/index-one-page.html	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/index-one-page.html	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:22	68431/68431	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/assets/images/visanet-landing/home-2.jpg	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/assets/images/visanet-landing/home-2.jpg	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:22	165147/165147	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/index-2.html	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/index-2.html	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:22	155138/155138	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/index-2-one-page.html	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/index-2-one-page.html	(from https://bracketweb.com/visanet-html/index-3.html)
11:04:23	153731/153731	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Dec%202025%2014:32:45%20GMT	https://bracketweb.com/visanet-html/index-3-one-page.html	D:/httrackdownload/vigid%20visa%20imtigration/bracketweb.com/visanet-html/index-3-one-page.html	(from https://bracketweb.com/visanet-html/index-3.html)
