date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:13	427943/427943	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Jun%202025%2009:10:14%20GMT	https://www.winni.in/	D:/httrackdownload/winin/www.winni.in/index.html	(from )
14:40:13	457/457	---M-Z	200	added ('OK')	text/plain	date:Tue,%2017%20Jun%202025%2018:35:36%20GMT	https://www.winni.in/robots.txt		(from )
14:40:13	4748/4748	---M--	200	added ('OK')	image/png	etag:%2297c8ea96cf2d8e9a41bb95baed2488e7%22	https://assets.winni.in/coreast/constant/icon/v1/apple-icon-120x120.png	D:/httrackdownload/winin/assets.winni.in/coreast/constant/icon/v1/apple-icon-120x120.png	(from https://www.winni.in/)
14:40:14	1984/1984	---M--	200	added ('OK')	image/png	etag:%22031cfe7e16070ec05973db210dc2069f%22	https://assets.winni.in/coreast/constant/icon/v1/apple-icon-57x57.png	D:/httrackdownload/winin/assets.winni.in/coreast/constant/icon/v1/apple-icon-57x57.png	(from https://www.winni.in/)
14:40:14	2112/2112	---M--	200	added ('OK')	image/png	etag:%22821239e00161a9ec41be79e3200854de%22	https://assets.winni.in/coreast/constant/icon/v1/apple-icon-60x60.png	D:/httrackdownload/winin/assets.winni.in/coreast/constant/icon/v1/apple-icon-60x60.png	(from https://www.winni.in/)
14:40:14	2588/2588	---M--	200	added ('OK')	image/png	etag:%2218098c129cdd3c98f187f57ba4b115d3%22	https://assets.winni.in/coreast/constant/icon/v1/apple-icon-72x72.png	D:/httrackdownload/winin/assets.winni.in/coreast/constant/icon/v1/apple-icon-72x72.png	(from https://www.winni.in/)
14:40:14	2771/2771	---M--	200	added ('OK')	image/png	etag:%22d3a20db9be2ad9a8204dd18073685076%22	https://assets.winni.in/coreast/constant/icon/v1/apple-icon-76x76.png	D:/httrackdownload/winin/assets.winni.in/coreast/constant/icon/v1/apple-icon-76x76.png	(from https://www.winni.in/)
14:40:15	4477/4477	---M--	200	added ('OK')	image/png	etag:%22ae2ff674f932cb77c5f282ae19054aee%22	https://assets.winni.in/coreast/constant/icon/v1/apple-icon-114x114.png	D:/httrackdownload/winin/assets.winni.in/coreast/constant/icon/v1/apple-icon-114x114.png	(from https://www.winni.in/)
14:40:15	6336/6336	---M--	200	added ('OK')	image/png	etag:%22ea27503ab85f6dcc6d50627203445b8f%22	https://assets.winni.in/coreast/constant/icon/v1/apple-icon-144x144.png	D:/httrackdownload/winin/assets.winni.in/coreast/constant/icon/v1/apple-icon-144x144.png	(from https://www.winni.in/)
14:40:15	7000/7000	---M--	200	added ('OK')	image/png	etag:%22daface479b261106992e511f7006e632%22	https://assets.winni.in/coreast/constant/icon/v1/apple-icon-152x152.png	D:/httrackdownload/winin/assets.winni.in/coreast/constant/icon/v1/apple-icon-152x152.png	(from https://www.winni.in/)
14:40:15	8452/8452	---M--	200	added ('OK')	image/png	etag:%2248707ca477f762ca3dc4dea6f1c0f69d%22	https://assets.winni.in/coreast/constant/icon/v1/apple-icon-180x180.png	D:/httrackdownload/winin/assets.winni.in/coreast/constant/icon/v1/apple-icon-180x180.png	(from https://www.winni.in/)
14:40:15	8213/8213	---M--	200	added ('OK')	image/png	etag:%22e3cf568d80d842e6cd8a34e5be1f608d%22	https://assets.winni.in/coreast/constant/icon/v1/android-icon-192x192.png	D:/httrackdownload/winin/assets.winni.in/coreast/constant/icon/v1/android-icon-192x192.png	(from https://www.winni.in/)
14:40:16	1138/1138	---M--	200	added ('OK')	image/png	etag:%2248819b695935ef6d2610e744992dfdd5%22	https://assets.winni.in/coreast/constant/icon/v1/favicon-32x32.png	D:/httrackdownload/winin/assets.winni.in/coreast/constant/icon/v1/favicon-32x32.png	(from https://www.winni.in/)
14:40:16	3777/3777	---M--	200	added ('OK')	image/png	etag:%223beb1f2f7aae682b26ce246b3e71de42%22	https://assets.winni.in/coreast/constant/icon/v1/favicon-96x96.png	D:/httrackdownload/winin/assets.winni.in/coreast/constant/icon/v1/favicon-96x96.png	(from https://www.winni.in/)
14:40:16	790/790	---M--	200	added ('OK')	image/png	etag:%22e5fe2ee604763328c9fb98a51a3f5af2%22	https://assets.winni.in/coreast/constant/icon/v1/favicon-16x16.png	D:/httrackdownload/winin/assets.winni.in/coreast/constant/icon/v1/favicon-16x16.png	(from https://www.winni.in/)
14:40:16	2996/2996	---M--	200	added ('OK')	image/png	etag:%2208a9b058a57c67fa907496a3491ff3a1%22	https://assets.winni.in/groot/2023/05/06/winni-logo/logo-test-thirty-six.png	D:/httrackdownload/winin/assets.winni.in/groot/2023/05/06/winni-logo/logo-test-thirty-six.png	(from https://www.winni.in/)
14:40:17	15829/15829	---M-Z	200	added ('OK')	text/css	etag:%225f6056598a5f21531f6ed8f430ae2d79%22	https://assets.winni.in/coreast/constant/css/vnd/swiper-8.1.0.min.css	D:/httrackdownload/winin/assets.winni.in/coreast/constant/css/vnd/swiper-8.1.0.min.css	(from https://www.winni.in/)
14:40:17	137903/137903	---M-Z	200	added ('OK')	text/css	etag:%22dbc33d4555feee1f68d4f8bee3813c3d%22	https://assets.winni.in/coreast/constant/css/vnd/materialize-1.0.0.min.css	D:/httrackdownload/winin/assets.winni.in/coreast/constant/css/vnd/materialize-1.0.0.min.css	(from https://www.winni.in/)
14:40:17	40574/40574	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Jun%202025%2013:45:27%20GMT	https://www.winni.in/assets/css/thor/common-8664e8d80fc89284577a8358e645d4d3.css	D:/httrackdownload/winin/www.winni.in/assets/css/thor/common-8664e8d80fc89284577a8358e645d4d3.css	(from https://www.winni.in/)
14:40:17	2623/2623	---M-Z	200	added ('OK')	text/css	etag:W/%222975420ce29dba92d753d73530d59335%22	https://www.winni.in/assets/css/thor/deliveryIn-common-2975420ce29dba92d753d73530d59335.css	D:/httrackdownload/winin/www.winni.in/assets/css/thor/deliveryIn-common-2975420ce29dba92d753d73530d59335.css	(from https://www.winni.in/)
14:40:18	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2020%20Jun%202025%2009:10:19%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/httrackdownload/winin/www.googletagmanager.com/gtm.125445.delayed	(from https://www.winni.in/)
14:40:18	77602/77602	---MC-	200	added ('OK')	text/javascript	etag:W/%22cb46da82fe8d746340ca2e38b7cd7a67%22	https://vision.winni.in/lib.min.js	D:/httrackdownload/winin/vision.winni.in/lib.min.js	(from https://www.winni.in/)
14:40:19	1200/1200	---MC-	200	added ('OK')	text/javascript	date:Fri,%2020%20Jun%202025%2009:10:19%20GMT	https://www.google.com/recaptcha/enterprise.js?render=6LffrDQpAAAAAAdJSbgVUcL7-4643gjXzCcIv7e1	D:/httrackdownload/winin/www.google.com/recaptcha/enterpriseed16.js	(from https://www.winni.in/)
14:40:19	247828/247828	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jun%202025%2009:10:20%20GMT	https://www.winni.in/ak.m	D:/httrackdownload/winin/www.winni.in/ak.m	(from https://www.winni.in/)
14:40:19	247828/247828	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jun%202025%2009:10:20%20GMT	https://www.winni.in/ak.t	D:/httrackdownload/winin/www.winni.in/ak.t	(from https://www.winni.in/)
14:40:19	516/516	---M--	200	added ('OK')	image/png	etag:%221beaef147a271e1a036fe84fdb240040%22	https://assets.winni.in/groot/2023/11/20/desktop/header-image/cart-pink.png	D:/httrackdownload/winin/assets.winni.in/groot/2023/11/20/desktop/header-image/cart-pink.png	(from https://www.winni.in/)
14:40:20	274587/274587	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Jun%202025%2009:10:20%20GMT	https://www.winni.in/contact-us	D:/httrackdownload/winin/www.winni.in/contact-us.html	(from https://www.winni.in/)
14:40:20	257709/257709	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Jun%202025%2009:10:21%20GMT	https://www.winni.in/corporate	D:/httrackdownload/winin/www.winni.in/corporate.html	(from https://www.winni.in/)
